Subject,Object
Abel,Genesis 4
Abraham,1 ki
Abraham,1 peter
Abraham,2 chr
Abraham,2 kings
Abraham,abraham
Abraham,acts
Abraham,al koran
Abraham,all-virtuous wisdom of jesus ben sirach
Abraham,bible. john
Abraham,book of abraham
Abraham,book of daniel
Abraham,book of deuteronomy
Abraham,book of ezekiel
Abraham,book of isaiah
Abraham,book of james
Abraham,book of jeremiah
Abraham,book of joshua
Abraham,book of judith
Abraham,book of leviticus
Abraham,book of micah
Abraham,book of mormon
Abraham,book of nehemiah
Abraham,book of numbers
Abraham,book of psalms
Abraham,book of romans
Abraham,book of tobit
Abraham,epistle to the hebrews
Abraham,genesis 14
Abraham,genesis 24
Abraham,genesis 25
Abraham,genesis 26
Abraham,genesis 28
Abraham,genesis 31
Abraham,genesis 32
Abraham,genesis 35
Abraham,genesis 48
Abraham,gospel according to luke
Abraham,gospel according to mark
Abraham,gospel according to matthew
Abraham,hebrew bible
Abraham,kuando el rey nimrod
Abraham,midrash rabba
Abraham,midrash tanẖouma yelammedénou
Abraham,once upon a time... man
Abraham,the cave
Abraham Van Helsing,dracula
Anakin Skywalker,Star Wars Episode I: The Phantom Menace
Apokolips,fourth world
Asa of Judah,2 chr
Barry Allen,injustice 2
Barry Allen,suicide squad
Bart Simpson,The Simpsons
Belthazor,Charmed
Bentina Beakley,DuckTales
Betazed,Losing the Peace
Betazed,Old Wounds
Betazed,The Worlds of the Federation
Big Bad Wolf,Little Red Riding Hood
Big Bad Wolf,the story of the three little pigs
Big Bad Wolf,the wolf and the seven kids
Butch O'Really,Enter: Mutagen Man
Cable,Deadpool 2
Cain,Children of Eden
Cyborg,Smallville
Cyrus the Great,2 chr
Cyrus the Great,bible
Cyrus the Great,book of isaiah
Delirium,The Sandman
Deneb Ⅳ,The Worlds of the Federation
Dolores Haze,Lolita
Eve,Quran
Father Christmas,"Christmas, His Masque"
Glorious Godfrey,justice league
Glorious Godfrey,reign of the supermen
Glorious Godfrey,smallville
Glorious Godfrey,"young justice, season 2"
Hellboy,hellboy animated
Hellboy,hellboy ii: the golden army
Hellboy,hellboy: blood and iron
Hellboy,hellboy: sword of storms
Hellboy,hellboy: the science of evil
Hellboy,injustice 2
Iron Man,avengers
Iron Man,marvel 2
Iron Man,marvel versus capcom
Iron Man,marvel vs. capcom: infinite
Iron Man,rise of apocalypse
Iron Man,tales of suspense
Ishmael,genesis 25
Ishmael,genesis 28
Jack Frost,The Frost King
Jacob,al koran
Jacob,genesis 25
Jacob,genesis 28
Jacob,genesis 31
Jacob,genesis 32
Jacob,genesis 35
Jacob,genesis 48
Jehoshaphat,1 ki
Jehoshaphat,2 chr
Jehoshaphat,gospel according to matthew
Jokshan,genesis 25
Judy Jetson,The Jetsons
Kadamattathu Kathanar,Kadamattathachan
Kalibak,fourth world
Krishna,jaya
Launchpad McQuack,DuckTales
Levi,genesis 35
Lisa Simpson,The Simpsons
Ludwig Von Drake,An Adventure in Color/Mathmagicland
Luke Skywalker,1977 star wars
Luke Skywalker,battlefront 2
Luke Skywalker,force awakens
Luke Skywalker,last jedi
Luke Skywalker,lego star wars: the freemaker adventures
Luke Skywalker,return of the jedi
Luke Skywalker,star wars 5
Luke Skywalker,star wars episode iii
Luke Skywalker,Star Wars Galaxies
Luke Skywalker,star wars: masters of teräs käsi
Magnemite,pocket monsters
Magnezone,pocket monsters
Marie-Josephte Corriveau,Les Anciens Canadiens
Martian Manhunter,Smallville
Melusine,Histoire de Mélusine
Metallo,smallville
Midian,1 ki
Midian,book of isaiah
Midian,book of numbers
Moka Akashiya,Rosario + Vampire
Mr. Freeze,injustice 2
Mr. Freeze,justice league action
Palpatine,Star Wars Rebels
Palpatine,Star Wars: Episode III – Revenge of the Sith
Peter,Gospel of John
Princess Leia,1977 star wars
Princess Leia,battlefront 2
Princess Leia,force awakens
Princess Leia,last jedi
Princess Leia,lego star wars: the freemaker adventures
Princess Leia,obi-wan kenobi
Princess Leia,rebels
Princess Leia,return of the jedi
Princess Leia,rise of skywalker
Princess Leia,rogue one: a star wars story
Princess Leia,star wars 5
Princess Leia,star wars episode iii
Princess Leia,star wars forces of destiny
Princess Leia,star wars resistance
Princess Leia,star wars: masters of teräs käsi
Professor Hamilton,Smallville
Raziel,Legacy of Kain: Soul Reaver
Rebel Alliance,star wars iv-vi
Rickon Stark,A Song of Ice and Fire
Rodney,The Great Boldini
Russian,The Punisher
Seymour Gutz,Enter: Mutagen Man
Shahryar,One Thousand and One Nights
Sinterklaas,Sinterklaasjournaal
Snegurochka,The Snow Maiden
Spawn,Spawn
Suicide Squad,legends
Suicide Squad,the brave and the bold
Till Eulenspiegel,The Legend of Thyl Ulenspiegel and Lamme Goedzak
Trill,Demons of Air and Darkness
Trill,Enemy of My Enemy
Trill,Vectors
Virman Vundabar,justice league action
wicked fairy godmother,The Sleeping Beauty
Xatu,pocket monsters
Yoda,battlefront 2
Yoda,last jedi
Yoda,rebels
Yoda,return of the jedi
Yoda,star wars 5
Yoda,star wars episode iii
Yoda,star wars iv-vi
Zankou,Charmed
Zeus,Wonder Woman
