Subject,Object
1897 European Rowing Championships,fisa
1922 European Rowing Championships,fisa
1930 European Rowing Championships,fisa
1931 European Rowing Championships,fisa
1953 European Rowing Championships,fisa
1954 European Rowing Championships,fisa
1962 European Athletics Championships,ea
1964 European Rowing Championships,fisa
1968 European Indoor Games,ea
1969 European Indoor Games,ea
1976 American Airlines Tennis Games,association of tennis professionals
1988 Spanish Open,women's tennis association
1989 Spanish Open,women's tennis association
1993 Internationaux de Strasbourg,women's tennis association
1998 Páginas Amarillas Open,women's tennis association
1999 Direct Line International Championships,women's tennis association
2000 Direct Line International Championships,women's tennis association
2001 Britannic Asset Management International Championships,women's tennis association
2006–07 Celtic League,celtic rugby
2007–08 Celtic League,celtic rugby
2008–09 Celtic League,celtic rugby
2009 Copa Sony Ericsson Colsanitas,women's tennis association
2009 Legg Mason Tennis Classic,association of tennis professionals
2009–10 Celtic League,celtic rugby
2010 European Athletics Championships,ea
2010–11 Celtic League,celtic rugby
2012 Copa Sony Ericsson Colsanitas,women's tennis association
2012 Toray Pan Pacific Open,women's tennis association
2013 New Haven Open at Yale,women's tennis association
2014–15 Pro12,celtic rugby
2015–16 Pro12,celtic rugby
2016 MercedesCup,association of tennis professionals
2016 Toray Pan Pacific Open,women's tennis association
2016–17 Pro12,celtic rugby
2017 European Athletics Indoor Championships,ea
2017 Toray Pan Pacific Open,women's tennis association
2018 European Rowing Championships,fisa
2025,Corrin Gideon
Asian Games,olympic council of asia
Athletics at the 2000 Summer Olympics – Men's 200 metres,i.o.c.
Athletics at the 2004 Summer Olympics – Men's 200 metres,i.o.c.
Athletics at the 2008 Summer Olympics – Men's 200 metres,i.o.c.
Athletics at the 2012 Summer Olympics – Men's 200 metres,i.o.c.
Badminton at the 2016 Summer Olympics,badminton world federation
Bofrost Cup on Ice,deu
Brisbane International,association of tennis professionals
Brisbane International,ta
Copa de la Reina de Fútbol,espainiako futbol errege federakundea
Coupe de la Ligue,lfp média
División de Honor Femenina de Rugby,ferugby
Eretz Nehederet,Eyal Kitzis
Family Feud,Steve Harvey
Grand Prix of Figure Skating Final,international skating union
ISU Grand Prix of Figure Skating,international skating union
Kliemannsland,Fynn Kliemann
Miss USA 2007,Nancy O'Dell
Miss USA 2013,Nick Jonas
Miss USA 2014,Giuliana Rancic
Miss USA 2015,Todd Newton
Modern pentathlon at the 2016 Summer Olympics,i.o.c.
Munich massacre,black september
National Rugby League,australian rugby league
Nordic combined at the 1994 Winter Olympics,i.o.c.
Rowing at the 2016 Summer Olympics,fisa
Rowing at the 2016 Summer Olympics,i.o.c.
Rowing at the Asian Games,arf
Royal Rumble,"titan sports, inc."
Rugby union at the 1908 Summer Olympics,boa
Saturday Night Live,Don Pardo
Walulis,Philipp Walulis
WrestleMania 35,"titan sports, inc."
