Subject,Object
Japan National Route 197,Yusuhara
Japan National Route 269,kanoya
Japan National Route 269,Miyakonojō
Japan National Route 269,shibushi
Japan National Route 269,soo
Japan National Route 338,Misawa
Japan National Route 338,mutsu
Japan National Route 350,Sado
Japan National Route 390,Miyakojima
Japan National Route 436,shodoshima
Japan National Route 436,Shōdoshima
Japan National Route 436,tonosho
Japan National Route 57,aso
Japan National Route 57,bungo-ōno
Japan National Route 57,isahaya
Japan National Route 57,Kumamoto
Japan National Route 57,shimabara
Japan National Route 57,taketa
Japan National Route 57,Uki
Japan National Route 57,unzen
Japan National Route 57,uto
