Subject,Object
1976 American Airlines Tennis Games,200000
1979 ABN World Tennis Tournament,175000
1987 Dow Chemical Classic,125000
1988 Spanish Open,50000
1989 Spanish Open,100000
1992 Internationaux de Strasbourg,150000
1993 Internationaux de Strasbourg,150000
1999 Direct Line International Championships,520000
2000 DFS Classic,170000
2000 Direct Line International Championships,535000
2000 Energis Dutch Open,375000
2002 Energis Open,356000
2003 Priority Telecom Open,375750
2006 ABN AMRO World Tennis Tournament,900000
2007 ABN AMRO World Tennis Tournament,900000
2009 Copa Sony Ericsson Colsanitas,220000
2011 ABN AMRO World Tennis Tournament,1150000
2012 Copa Sony Ericsson Colsanitas,220000
2012 New Haven Open at Yale,618000
2012 Toray Pan Pacific Open,2168400
2016 Malaysia Super Series Premier,550000
2016 MercedesCup,606520
