Subject,Object
60 Minutes,andrew lack
60 Minutes,claudia weinstein
60 Minutes,jeff fager
"Alexander and the Terrible, Horrible, No Good, Very Bad Day",Lisa Henson
Alice Through the Looking Glass,Jennifer Todd
Alice Through the Looking Glass,Joe Roth
Alice Through the Looking Glass,Tim Burton
American Hustle,charles roven
American Hustle,jonathan gordon
American Hustle,margaret elizabeth ellison
American Hustle,richard suckle
An Unearthly Child,Mervyn Pinfield
Black Widow,Kevin Feige
Cinderella,David Barron
Family Guy: Live in Vegas,Seth MacFarlane
Godzilla vs. Kong,Mary Parent
Justice League – Original Motion Picture Soundtrack,Danny Elfman
Man on the Moon,Pat McCarthy
Marco Polo,Mervyn Pinfield
Miracle of the White Stallions,walt disney
Morbius,Avi Arad
Night Court,linwood boomer
Parade,Prince
Pulp Fiction,lawrence bender
Saving Mr. Banks,alison mary owen
Saving Mr. Banks,Alison Owen
Saving Mr. Banks,ian collie
Saving Mr. Banks,philip steuer
Song of the South,walt disney
Star Wars Episode IV: A New Hope,George Lucas
The BFG,Frank Marshall
The BFG,Steven Spielberg
The Edge of Destruction,Mervyn Pinfield
The Galileo Seven,eugene lee coon
The Three Caballeros,walt disney
The Wiz: Original Motion Picture Soundtrack,Quincy Jones
Wonder Woman 1984,charles roven
Wonder Woman 1984,Zack Snyder
Xanadu,Jeff Lynne
