Subject,Object
AG Weser,german submarine u-183
AG Weser,german submarine u-184
Apple Maps,ims
Audi,auto
Blender Foundation,computational tool
BNP Paribas,asset management
Boeing,Boeing 737
CBS Films,cinema
Chesbro Music Company,teton
Chesbro Music Company,Teton Guitars
G&L Musical Instruments,bass
G&L Musical Instruments,bass guitar
Google,software
H&M,apparel
H&M,clothing
Itaú Unibanco,investment bank
Magnit,final good
Manga Entertainment,vhs
"McAfee, LLC",software
Microsoft,computational tool
Microsoft,computer accessory
Microsoft,microsoft windows
Monsanto,herbicide
Nintendo,computational tool
Nintendo,computer game
Novartis,diclofenac
Sabian,zill
Sony,alpha
Sony,computational tool
Sony,computer accessory
Sony,computer game
Sony,consumer electronics
Sony,copier
Sony,semiconductor
Sony,single-lens reflex camera
Sony,telecommunication device
Statnett,electric grid
Telepizza,eateries
Tesco,goods
Total S.A.,petroleum
Unilever,cosmetics
Uzbek Wikipedia,digital encyclopaedia
Visa Inc.,credit card
Vodafone,fixed telephone
Vodafone,mobile telephony
Volkswagen Group,auto
Volkswagen Group,bike
Volkswagen Group,box van
Volkswagen Group,car
Volkswagen Group,lorry
Weleda,lotion
Weleda,shampoo
WWE Raw,smackdown!
Yamaha Corporation,software
