Subject,Object
1SWASP J011732.10+525204.9,-3.311
1SWASP J160202.07+121213.5,-21.525
1SWASP J222514.69+361643.0,-3.831
2MASS J06310608+0457529,-1.365
2MASS J07323341+7241408,-57.115
2MASS J14382831+8229397,1.831
2MASS J17532059+2516492,-2.945
2MASS J18314638-0210403,-4.89
2MASS J20431402+1536021,-17.545
2MASS J21402588+5815262,-0.681
89 Herculis,3.894
9 Persei,-1.798
[CBC2012] Obj6,-7.085
[CWB2011] WLTV J045346.27-030329.0,0.718
[CWB2011] WLTV J045356.04-030619.7,-2.386
[CWB2011] WLTV J160429.34+431016.8,-24.619
[HS80] B182,-0.24
[KMW87] P14523,1.616
[KMW87] P22263,-2.192
[KMW87] Q11994,-2.187
[KMW87] Q21314,0.814
[LKS2002] C174,-0.39
[MLF2014] 138261,-5.837
[NM2011] J013326.60+303550.3,-1.502
[NM2011] J013356.33+303420.8,0.17
[SS2011b] F2-16084,-0.208
CD-60 6745,-51.085
D33 J013335.6+303649.2,1.028
D33 J013352.1+304702.9,-0.508
D33 J013355.0+304643.2,-2.128
D33 J013355.3+304343.5,1.376
D33 J013421.3+304537.1,1.783
DS Crucis,-4.718
ESO 268-34,-7.271
ESO 320-35,-1.401
ESO 323-18,0.082
ESO 427-34,2.606
ESO 428-28,-0.96
ESO 488-60,0.615
ESO 572-49,-3.572
HD 14433,-0.908
HD 208313,-234.37
HD 92207,-7.397
HD 96064,-179.926
IK Tauri,-22.82
IRC+10420,-7.412
Kepler-10,-18.394
Kepler-20,-26.959
KIC 6445601,-7.244
KIC 7819024,-14.075
KOI-2443,7.504
KOI-2498,6.657
KOI-2585,12.512
KOI-2711,-5.7
LGGS J013401.91+303819.3,-0.407
LP 415-345,-37.719
Messier 32,-17.0
NGC 129,-1.23
NGC 2180,-3.55
NGC 2186,-2.79
NGC 2204,0.42
NGC 2232,-4.7737
NGC 2420,-2.38
NGC 2547,-8.5999
NGC 5238,-0.125
NGC 559,-4.58
NGC 6281,-3.9506
NGC 6793,3.562
NGC 7142,-2.37
NGC 7214,-0.261
NGC 7320,-1.271
PGC 55844,-0.521
PGC 57093,-14.353
PGC 58501,-7.19
PGC 62346,-0.318
PGC 62702,-6.231
PGC 66558,-0.241
PGC 69307,-1.1
R Cassiopeiae,18.76
R Dra,-21.04
R Hydrae,-46.66
R Pegasi,-9.999
S Serpentis,0.983
TYC 1284-1056-1,-31.953
TYC 5518-774-1,-43.964
TYC 694-1183-1,-18.648
U Herculis,-15.241
U Orionis,-10.854
UCAC2 45858420,-3.763
UCAC4 437-017603,-208.893
UGC 3580,2.623
UGC 7129,-2.571
UGC 7942,0.54
V* CG Phe,-28.926
V* EW Dra,-483.168
V* V1768 Sgr,-1.688
V* V1779 Sgr,-2.302
V* V1784 Sgr,-2.15
V4381 Sagittarii,-1.498
