Subject,Object
Alberta,bright monday
Alberta,canada day
Alberta,canadian thanksgiving
Alberta,christmas day
Alberta,family day
Alberta,Good Friday
Alberta,international workers' day
Alberta,poppy day
Alberta,Remembrance Day
Alberta,victoria day
Australia,1 january
Australia,bright monday
Australia,christmas
Australia,good friday
Austria,1 january
Austria,1 may
Austria,all hallows' day
Austria,ascension day
Austria,assumption of mary
Austria,bright monday
Austria,christmas
Austria,corpus domini
Austria,epiphany
Austria,feast of the immaculate conception
Austria,national holiday
Austria,pentecost monday
Austria,saint stephen's day
Aveiro,Patron saint day
Chaves,Patron saint day
Czech Republic,1 may
Czech Republic,bright monday
Czech Republic,christmas
Czech Republic,good friday
Czech Republic,saint stephen's day
France,1 january
France,1 may
France,all hallows' day
France,armistice day
France,ascension day
France,assumption of mary
France,bright monday
France,christmas
France,good friday
France,pentecost monday
India,1 may
Italy,1 january
Italy,1 may
Italy,all hallows' day
Italy,bright monday
Italy,christmas
Italy,epiphany
Italy,feast of the immaculate conception
Italy,saint stephen's day
Morocco,1 january
Morocco,1 may
Morocco,14 august
Philippines,1 january
Philippines,1 may
Philippines,christmas
Philippines,covenant thursday
Philippines,feast of the immaculate conception
Philippines,good friday
Poland,1 may
Poland,bright monday
Poland,christmas
Poland,corpus domini
Poland,epiphany
Poland,saint stephen's day
Póvoa de Varzim,Patron saint day
Quebec,family day
Quebec,fete nationale
Quebec,national patriot's day
Quebec,poppy day
Quebec,Remembrance Day
Quebec,Saint-Jean-Baptiste Day
Quebec,victoria day
Santarém,Patron saint day
Slovakia,1 january
Slovakia,1 may
Slovakia,all hallows' day
Slovakia,bright monday
Slovakia,christmas
Slovakia,epiphany
Slovakia,good friday
Spain,1 january
Spain,1 may
Spain,assumption of mary
Spain,christmas
Spain,epiphany
Spain,good friday
Sweden,1 january
Sweden,1 may
Sweden,all hallows' day
Sweden,ascension day
Sweden,bright monday
Sweden,christmas day
Sweden,epiphany
Sweden,good friday
Thailand,1 january
United Kingdom,1 january
United Kingdom,1 may
United Kingdom,bright monday
United Kingdom,christmas
United Kingdom,good friday
