Subject,Object
2012 Total Worker Health Symposium,Journal of Occupational and Environmental Medicine
2014 Annual Meeting of the North American Congress of Clinical Toxicology,Clinical Toxicology
A case report of tongue metastasis from lung squamous cell carcinoma and literature review.,Medicine
A Scandal in Bohemia,the strand magazine
Acilius 5,"Pauly-Wissowa vol. I,1"
Analysis of Wikipedia's Translation Tool and its uses in Education,"Proceedings of the 5th Panhellenic Scientific Conference ""Integration and Use of ICT in the Educational Process"""
Antike und Antikenrezeption in sächsischen Museen. Ausstellungsgeschichte – Bestandsentwicklung – Technologiewandel,saxorum.hypotheses.org
ASCHA/NIOSH Conference: Selected Abstracts,Journal of Agromedicine
Attikos 10a-f,"Pauly-Wissowa vol. II,2"
"Cardiff castle, Glamorganshire","Wales illustrated: in a series of views, comprising the picturesque scenery, towns, castles, seats of the nobility & gentry, antiquities, &c."
"Carew Castle, Pembroke",Picturesque Views in England and Wales
"Carew Castle, Pembrokeshire","Wales illustrated: in a series of views, comprising the picturesque scenery, towns, castles, seats of the nobility & gentry, antiquities, &c."
Chadwick Boseman to Star in Marvel's Black Panther,marvel.com
"Clarinet Concerto No. 1 in F Minor, Op. 73: I. Allegro","Weber: Clarinet Concerto No. 1 in F Minor, Op. 73"
"Clarinet Concerto No. 1 in F Minor, Op. 73: II. Adagio ma non troppo","Weber: Clarinet Concerto No. 1 in F Minor, Op. 73"
"Clarinet Concerto No. 1 in F Minor, Op. 73: III. Rondo. Allegretto","Weber: Clarinet Concerto No. 1 in F Minor, Op. 73"
Classification of Knowledge Organization Systems with Wikidata,Proceedings of the 15th European Networked Knowledge Organization Systems Workshop
Complete remission of Merkel cell carcinoma on the upper lip treated with radiation monotherapy and a literature review of Japanese cases.,World Journal of Surgical Oncology
Concerto No. 1 in D Minor for Oboe and Orchestra: II. Grazioso,Lebrun: Oboe Concerto No. 1 in D Minor
Concerto No. 1 in D Minor for Oboe and Orchestra: III. Allegro,Lebrun: Oboe Concerto No. 1 in D Minor
Der Lichtenburger Konvent von 1576,saxorum.hypotheses.org
Extramedullary plasmacytoma occuring in ileocecum: A case report and literature review.,Medicine
"Flint Castle, north Wales",Picturesque Views in England and Wales
Grundlagen der Bibliotheksarbeit: Offenheit als Maxime in der Forschung,saxorum.hypotheses.org
"Heimatforschung in Europa – ein Aufruf, oder: Call for Participation",saxorum.hypotheses.org
International workshop on retrospective exposure assessment for occupational epidemiologic studies,Journal of Occupational and Environmental Hygiene
Introducing Wikidata to the Linked Data Web,"The Semantic Web – ISWC 2014, Part I"
Kompakte Darstellung der Chemnitzer Stadtgeschichte,saxorum.hypotheses.org
"Llanelltyd Church, near Dolgellau, Merionethshire","Wales illustrated: in a series of views, comprising the picturesque scenery, towns, castles, seats of the nobility & gentry, antiquities, &c."
"Llanelltyd Church: near Dolgellau, Merionethshire","Wales illustrated: in a series of views, comprising the picturesque scenery, towns, castles, seats of the nobility & gentry, antiquities, &c."
Marvel's 'Doctor Strange' begins production,marvel.com
Monumente der Störung – Disruptive Eingriffe ins Dresdner Stadtbild,saxorum.hypotheses.org
"Pancreatic mucinous cystadenoma with serum CA 19-9 over 1,000,000 U/mL: a case report and review of the literature.",World Journal of Surgical Oncology
"Pengwern Place, Flintshire","Views of the seats of noblemen and gentlemen, in England, Wales, Scotland, and Ireland"
Picton Castle,The seats of the nobility and gentry
"Pont y Prydd, Glamorganshire","Wales illustrated: in a series of views, comprising the picturesque scenery, towns, castles, seats of the nobility & gentry, antiquities, &c."
RE:Ala 2,"Pauly-Wissowa vol. I,1"
RE:Mellodunum,"Pauly-Wissowa vol. XV,1"
Regionenbezogene Sinnstiftung durch Antikerezeption in der sächsischen Landes- und Regionalgeschichtsschreibung des 19. und 20. Jahrhunderts,saxorum.hypotheses.org
RYAN COOGLER TO DIRECT MARVEL'S 'BLACK PANTHER',marvel.com
"Tal y Llyn, Merionethshire","Wales illustrated: in a series of views, comprising the picturesque scenery, towns, castles, seats of the nobility & gentry, antiquities, &c."
"The Eagle Tower, Caernarvan Castle","A collection of one hundred and fifty select views, in England, Scotland, and Ireland"
The German Front,Vanity Fair
The Invisible Man,pearson's weekly
The One Number You Need to Grow,Harvard Business Review
The Paranoid Style in American Politics,harper's
The Paranoid Style in American Politics,Harper's Magazine
Thor Brings Ragnarok to the Marvel Cinematic Universe in 2017,marvel.com
Vandalism Detection in Wikidata,Proceedings of the 25th ACM International on Conference on Information and Knowledge Management
"View on the Rhiew, Montgomeryshire","Wales illustrated: in a series of views, comprising the picturesque scenery, towns, castles, seats of the nobility & gentry, antiquities, &c."
Wii,lentapedia
Wikidata as semantic representation platform of the scientific achievements of the biomedical Collaborative Research Centre 1002,German medical science : GMS e-journal
