Subject,Object
"""Ask and you shall be given"" : Pentecostalism and the economic crisis in Cameroon",African Studies Centre Leiden
"Acta Agriculturae Scandinavica, Section B",Taylor & Francis
Acta Paediatrica,Wiley-Blackwell
Actualidad Económica,National University of Córdoba
"Advances in coastal ecology : people, processes and ecosystems in Kenya",African Studies Centre Leiden
Alien vs. Predator: Fire and Stone,Dark Horse Comics
Aliens,Dark Horse Comics
Aliens: Defiance,Dark Horse Comics
Aliens: Fire and Stone,Dark Horse Comics
Aliens: Life and Death,Dark Horse Comics
Aliens: Xenogenesis,Dark Horse Comics
"Annals of Allergy, Asthma & Immunology",Elsevier
"Balancing men, morals and money : women's agency between HIV and security in a Malawi village",African Studies Centre Leiden
"Being old in times of AIDS: aging, caring and relating in northwest Tanzania",African Studies Centre Leiden
Bert och bacillerna,raben och sjögren
Bert och bacillerna,Rabén & Sjögren
Bert och Boysen,raben och sjögren
Bert och Boysen,Rabén & Sjögren
Bert och brorsorna,raben och sjögren
Bert och brorsorna,Rabén & Sjögren
Berts bekymmer,raben och sjögren
Berts bekymmer,Rabén & Sjögren
Berts bekännelser,raben och sjögren
Berts bekännelser,Rabén & Sjögren
Berts bravader,raben och sjögren
Berts bravader,Rabén & Sjögren
Berts bryderier,raben och sjögren
Berts bryderier,Rabén & Sjögren
Berts dagbok,Rabén & Sjögren
Berts första betraktelser,raben och sjögren
Berts första betraktelser,Rabén & Sjögren
Berts vidare betraktelser,raben och sjögren
Berts vidare betraktelser,Rabén & Sjögren
Beyond the facade : instrumentalisation of the Zambian health sector,African Studies Centre Leiden
Bodies in action: culture and body skills in post-conflict Sierra Leone,African Studies Centre Leiden
Bound and Gagged: Pornography and the Politics of Fantasy in America,Grove Press
Bridging the gap between bird conservation and sustainable development : perceptions and participation of rural people in Burkina Faso's Sahel region,African Studies Centre Leiden
Cardiganshire: near Aberystwith,Rudolph Ackermann
Chadwick Boseman to Star in Marvel's Black Panther,Marvel Entertainment
"Cherry Grove, Fire Island: Sixty Years in America’s First Gay and Lesbian Town",Beacon Press
Chinese Journal of Physics,elsevier
Coinage of the Roman Republic Online,American Numismatic Society
Consuming democracy : local agencies & liberal peace in the Democratic Republic of Congo,African Studies Centre Leiden
Contesting control : land and forest in the struggle for Loita Maasai self-government in Kenya,African Studies Centre Leiden
Contexto revista de la facultad de arquitectura de la UANL,Universidad Autónoma de Nuevo León
Coping with inadequacy: understanding the effects of central teacher recruitment in six ward secondary schools in Tanzania,African Studies Centre Leiden
Crickhowel Castle,James Baker
Current Archaeology,current publishing
Destination Moon,Casterman
Development,The Company of Biologists
Dilemmas of Difference: Indigenous Women and the Limits of Postcolonial Development Policy,Duke University Press
"Disturbing Attachments: Genet, Modern Pederasty, and Queer History",Duke University Press
Downwardly Global,Duke University Press
Dutch Art in America,The Netherlands-American Amity Trust
"Eastern view of Wrexham church, from Mount street",Thomas Painter
Egypte/monde arabe,"Centre d'études et de documentation économiques, juridiques et sociales"
Essential Evidence-Based Medicine,Cambridge University Press
"Exile and Pride: Disability, Queerness, and Liberation",Duke University Press
Explorers on the Moon,Casterman
Families in War and Peace: Chile from Colony to Nation,Duke University Press
Financial Modeling,MIT Press
Gateway Of Carnarvon Castle,William Pritchard
Grasas y Aceites,Spanish National Research Council
"Haydée Santamaría, Cuban Revolutionary: She Led by Transgression",Duke University Press
"House of Slaves and “Door of No Return”: Gold Coast/Ghana Slave Forts, Castles & Dungeons and the Atlantic Slave Trade",Africa World Press
Hystrix,Associazione Teriologica Italiana
Informes de la Construcción,Instituto de Ciencias de la Construcción Eduardo Torroja
Informes de la Construcción,Spanish National Research Council
International Journal of Life Cycle Assessment,Springer Science+Business Media
Ion Mobility Spectrometry,CRC Press
Isle of Anglesea near the Paris mine,Rudolph Ackermann
Iter Italicum,Warburg Institute
Journal of Applied Animal Research,Taylor & Francis
Journal of Clinical Investigation,American Society for Clinical Investigation
Journal of Ocean and Climate,SAGE Publishing
Journal of Physics B,IOP Publishing
Journal of Psychopharmacology,SAGE Publishing
"Kilgarren castle, Cardiganshire",Thomas Clay
Kunst og Kultur,Scandinavian University Press/Universitetsforlaget
La Directa,"La Directa, SCCL"
"Loneliness and Its Opposite: Sex, Disability, and the Ethics of Engagement",Duke University Press
Louise Thompson Patterson: A Life of Struggle for Justice,Duke University Press
"Love, H: The Letters of Helene Dorn and Hettie Jones",Duke University Press
Marvel Trading Card Game,Konami
Marvel's 'Doctor Strange' begins production,Marvel Entertainment
Miscelánea de Estudios Árabes y Hebraicos. Sección Hebreo,University of Granada
Ola Financiera,National Autonomous University of Mexico
Plant Production Science,Taylor & Francis
Pos-Amiko,Dutch Esperanto Youth
Predator: Fire and Stone,Dark Horse Comics
Predator: Life and Death,Dark Horse Comics
Prisoners of the Sun,Casterman
Proceedings of the National Academy of Sciences of the United States of America,nas
Proceedings of the National Academy of Sciences of the United States of America,National Academy of Sciences
Prometheus: Life and Death,Dark Horse Comics
"Pylle Priory, Pembrokeshire",William Clarke
Pyongyang,Drawn and Quarterly
Revista Brasileira de Ciências Sociais,National Association of Post-Graduate Research in Social Sciences
Revista de Estudios Empresariales,"Facultad de Ciencias Sociales y Jurídicas, Universidad de Jaén"
Revista del Centro de Estudios Históricos de Granada y su Reino,University of Granada
Revista Espaço Acadêmico,Universidade Estadual de Maringá
Revista Internacional de Sociología,Spanish National Research Council
Revista Pediatría de Atención Primaria,Lúa Ediciones
