Subject,Object
2015–16 Cypriot First Division,2016-17 uefa champions league
2015–16 Cypriot First Division,2016-17 uefa europa league
2017 Women's European Volleyball Championship qualification,2017 women's european volleyball championship
2019 Women's European Volleyball Championship qualification,2019 women's european volleyball championship
Miss Colorado's Outstanding Teen,Miss America's Outstanding Teen
Miss Hawaii's Outstanding Teen,Miss America's Outstanding Teen
Miss Louisiana's Outstanding Teen,Miss America's Outstanding Teen
Miss Maine's Outstanding Teen,Miss America's Outstanding Teen
Miss Mississippi's Outstanding Teen,Miss America's Outstanding Teen
Miss Nebraska's Outstanding Teen,Miss America's Outstanding Teen
Miss Texas' Outstanding Teen,Miss America's Outstanding Teen
