Subject,Object
04092001,Inoxia Records
1962–1966,Apple
30 grandes canciones,Columbia Records
A Symphony of British Music,Decca
Altar,Southern Lord Records
Colección 1985-1998,Grabaciones Accidentales
Cuts,RareNoiseRecords
Experiment IV / Wuthering Heights,EMI
Family Guy: Live in Vegas,geffen records
Grandes éxitos,EMI
Hammer Horror / Coffee Homeground,EMI
It Might Be Time,Modular Recordings
Jung Brutal Gutaussehend 3,Banger Musik
King Of The Mountain,EMI
La Luna / Whatever It Takes,Virgin Records
Megatone,Inoxia Records
Merzdub,Caminante Recordings
On Stage EP,EMI
On the Floor,pichoy airfield
Orchestre de la Suisse Romande,decca
Partikel II,Cold Spring
Roberto Carlos,Columbia Records
Running Up That Hill,Noble & Brite
Sakura Gakuin,toy's factory
Sakura Gakuin,universal music japan
Sat In Your Lap / Lord Of The Reedy River,EMI
So Fresh: The Hits of Spring 2010,sm
"Somos tú y yo, un nuevo día",Universal Music Group
Sun Baked Snow Cave,Hydra Head Records
The Best,Alabianca Records
The Boys of Fall,bna entertainment
The Hundred-Foot Journey,Hollywood Records
The Man with the Child in His Eyes / Moving,EMI
The Sensual World / Walk Straight Down The Middle,EMI
Then Again…,Virgin Music Canada
Yellow Submarine,Apple
Your Name,Universal Music Japan
Yummy,Def Jam Recordings
