Subject,Object
[FK2002] 229,0.02884
[FK2002] 6,0.013149
[FK2002] 84,0.026932
[T98b] 70,0.018
Abell 2199,0.0299
Abell 2199,0.029957
Abell 2199,0.03
Abell 2199,0.0303
Abell 2199,0.0308
Abell 2199,0.0309
Abell 2199,0.031432
Abell 2261,0.22326
Abell 262,0.016227
Abell 2744,0.308
Centaurus A,0.0008
Centaurus A,0.001825
Centaurus A,0.002
Circinus Galaxy,0.0014
Circinus Galaxy,0.001454
Circinus Galaxy,0.001461
CTA-102,1.032
ESO 104-22,0.002652
ESO 104-44,0.002598
ESO 427-14,0.006735
HD 126961,-5.71
HD 164595,2.074
Huchra's lens,0.0002
IC 5364,0.0302
LEDA 87205,0.02972
Mahtessian 56,0.016551
MLCG 0619,0.02048
MLCG 1580,0.029
NGC 1316,0.005871
NGC 160,0.017522
NGC 160,0.017525
NGC 3857,0.02093
NGC 392,156509.0
NGC 4377,0.004573
NGC 4435,0.002577
NGC 524,0.008076
NGC 524,0.008106
NGC 541,0.018029
NGC 541,0.018033
NGC 541,0.018069
NGC 541,0.018073
NGC 541,0.01808
NGC 59,0.001224
NGC 59,0.001274
NGC 6045,0.03331
NGC 6845,0.021211
NGC 7213,0.0057
NGC 7213,0.0058
NGC 7213,0.005977
NGC 7213,0.005987
NGC 7500,0.035435
RSCG 80,0.009
SDSSCGA 574,0.06
UGC 2994,0.011128
ULAS J1342+0928,7.54
USGC U468,0.02382
VV 699,0.012312
Whirlpool Galaxy,0.0015
Whirlpool Galaxy,0.001544
Whirlpool Galaxy,0.0018
Whirlpool Galaxy,0.002
