Subject,Object
Barry Allen,bart allen
Barry Allen,jenni ognats
Blackjack Mulligan,Bray Wyatt
Dezső Gyarmati,liliana szilagyi
Dezső Gyarmati,Liliána Szilágyi
Dezső Gyarmati,máté hesz
Jehoshaphat,shilhi
Liliána Szilágyi,dezsö gyarmati
Liliána Szilágyi,margit bara
Liliána Szilágyi,máté hesz
Luke Skywalker,ben solo
Luke Skywalker,cliegg lars
Luke Skywalker,han solo
Luke Skywalker,shmi skywalker
Paul Castellano,Richard S. Castellano
Princess Leia,bail organa
Princess Leia,cliegg lars
Princess Leia,shmi skywalker
Sarabi,askari
Thomas Playford,Thomas Playford
Thor,hlóra
