Subject,Object
Alexander Nevsky Cathedral,Bulgarian Orthodox Church
Alexander Nevsky Cathedral,Orthodox Christianity
Anthony of Padua,catholic church
"Ascension Cathedral, Almaty",Russian Orthodox Church
Atri Cathedral,catholic faith
Bangladesh,christian faith
Basilica of Saint Anthony of Padua,catholic faith
Bourg-en-Bresse Cathedral,catholic faith
Cathedral of Saint Sava,Serbian Orthodox Church
Chaldean Catholic Archeparchy of Mosul,catholic church
Church of St. George,Orthodox Christianity
Czech Republic,catholic church
Danny Elfman,christian faith
David Ogden Stiers,catholic faith
Dormition Cathedral,Orthodox Christianity
Eastern Orthodox Church,eastern orthodox christianity
First Epistle of John,christian faith
Fürstenfeld Abbey,Catholicism
Hailes Abbey,catholic faith
Hellboy,catholic faith
India,christian faith
Japan,christian faith
"Kazan Cathedral, St. Petersburg",Orthodox Christianity
Kingdom of Iraq,sunni
Kirkstall Abbey,catholic faith
Kurds,alevilık
Kurds,christian faith
Kurds,jewish religion
Kurds,sharfadin
Kurds,shi'a islam
Kurds,sunni
L. L. Zamenhof,jewish religion
Lewis Hamilton,catholic church
Melrose Abbey,catholic faith
Metropolitan Cathedral of Athens,eastern orthodox christianity
Miagao Church,Latin Church
Monastère Sainte Catherine de Sienne,Catholicism
Moon Jae-in,catholic church
Mortemer Abbey,Catholicism
Novocherkassk Cathedral,Orthodox Christianity
Order of St. Sylvester,catholic church
Paoay Church,latin catholic church
Paoay Church,Latin Church
Penne Cathedral,catholic faith
Philippines,catholic faith
Philippines,christian faith
Pro Ecclesia et Pontifice,catholic church
Roman Catholic Diocese of Ajmer,catholic faith
Roman Catholic Diocese of Bayeux,Catholic Church
Roman Catholic Diocese of Sisak,Catholicism
Roman Catholic Diocese of Tarazona,Latin Church
Roman Catholic Diocese of Treviso,Catholicism
Roman Catholic Diocese of Varaždin,Catholicism
Roman Catholic Diocese of Vicenza,Catholicism
Roman Catholic Diocese of Warszawa-Praga,Catholic Church
Roman Catholic Diocese of Évry–Corbeil-Essonnes,Catholic Church
Roman Catholic Diocese of Šibenik,Catholicism
Sacred Heart Major Seminary,catholic church
Saint George,christian faith
Saint George's Cathedral,Serbian Orthodox Church
Saint Isaac's Cathedral,eastern orthodox christianity
Saint-Merri,catholic faith
Sant Esteve,Catholicism
Sant'Andrea al Quirinale,catholic faith
Schönau Abbey,Catholicism
Simon the Zealot,jewish religion
Soviet Union,secular state
St. Basil's Cathedral,Orthodox Christianity
St. Michael's Cathedral,Orthodox Christianity
"St. Michael's Church, Munich",catholic faith
Synagogue of Santa María la Blanca,Catholic Church
Thailand,christian faith
"The Annunciation, with Saint Emidius",christian faith
Ukrainian Catholic Eparchy of Kolomyia,catholic faith
United Kingdom,christian faith
Victor Emmanuel II,catholic faith
Vietnam,catholic faith
Vladimir Putin,eastern orthodox christianity
Víctor Hugo Basabe,catholic church
Yelokhovo Cathedral,Orthodox Christianity
Yousif Thomas Mirkis,catholic church
