Subject,Object
10th Landtag of Bavaria,11th Landtag of Bavaria
11th Landtag of Bavaria,12th Landtag of Bavaria
12th Landtag of Bavaria,13th Landtag of Bavaria
13th Landtag of Bavaria,14th Landtag of Bavaria
14th Landtag of Bavaria,15th th Landtag of Bavaria
1st German Bundestag,2nd German Bundestag
2nd German Bundestag,3rd German Bundestag
3rd German Bundestag,4th German Bundestag
4th German Bundestag,5th German Bundestag
5th German Bundestag,6th German Bundestag
7th Landtag of Bavaria,8th Landtag of Bavaria
8th Landtag of Bavaria,9th Landtag of Bavaria
9th Landtag of Bavaria,10th Landtag of Bavaria
Chief Secretary's Office,Attorney-General's Department
Clwyd,bwrdeistref sirol conwy
Clwyd,county borough of wrexham
Clwyd,county of denbighshire
Clwyd,county of flintshire
Commonwealth of the Philippines,philippine islands
Commonwealth of the Philippines,third philippine republic
Crown Law Department,Attorney-General's Department
Department of the Public Actuary,Department of Treasury and Finance
Find My iPhone,find my
High Park—Humber Valley,york south--weston
Kuressaare City,Saaremaa Rural Municipality
Mandatory Iraq,hashemite kingdom of iraq
Minister for Communities and Social Inclusion,Minister for Human Services
Minister for Disabilities,Minister for Human Services
Minister for Emergency Services,"Minister for Police, Emergency Services and Correctional Services"
"Minister for Manufacturing, Innovation and Trade",Minister for Investment and Trade
Minister for Police,"Minister for Police, Emergency Services and Correctional Services"
Minister for Road Safety,"Minister for Police, Emergency Services and Correctional Services"
Minister for the River Murray,Minister for Water and the River Murray
Minister for Youth,Minister for Human Services
Minister of Social Welfare,Minister of Community Welfare
Mõisaküla City,Mulgi Rural Municipality
Narvik college of engineering,Narvik University College
Nazi Germany,british occupation zone in germany
Nazi Germany,"germany (territory under allied occupation, 1945-1955 : russian zone)‏"
Nesna University College,Nord University
Nyköping Municipality,trosa commune
Oslo college of higher education,Bislet College Center
Oslo Engineering College,Oslo University College
Podolian Voivodeship,podolia governorate
Province of Bologna,metropolitan city of bologna
Province of Florence,metropolitan city of florence
Province of Genoa,metropolitan city of genoa
Rebel Alliance,new republic
Saue City,Saue Rural Municipality
Socialist Republic of Romania,ro
Superannuation Department,Department of Treasury and Finance
TNT N.V.,tnt
Valga City,Valga Rural Municipality
York South—Weston,High Park—Humber Valley
