Subject,Object
10th arrondissement of Paris,former 5th arrondissement of Paris
11th arrondissement of Paris,former 6th arrondissement of Paris
11th arrondissement of Paris,former 8th arrondissement of paris
12th arrondissement of Paris,bercy
12th arrondissement of Paris,former 8th arrondissement of paris
12th arrondissement of Paris,saint-mandé
1st arrondissement of Paris,former 1st arrondissement of Paris
3rd arrondissement of Paris,former 6th arrondissement of Paris
4th arrondissement of Paris,former 7th arrondissement of Paris
4th arrondissement of Paris,former 8th arrondissement of paris
4th arrondissement of Paris,former 9th arrondissement of Paris
5th arrondissement of Paris,former 11th arrondissement of Paris
6th arrondissement of Paris,former 10th arrondissement of Paris
Ajax,Ajax—Pickering
Anambra State,East Central State
Argentina,colonial argentina
Argentina,provincias unidas de sudamerica
Armidale Dumaresq Shire,Dumaresq Shire
Askersund Municipality,Askersund Town
Aurora—Oak Ridges—Richmond Hill,Oak Ridges—Markham
Austria,austria
Azerbaijan,Azerbaijan Soviet Socialist Republic
Baden-Württemberg,baden
Bergum,Bergum parish
Berlin,berlin (west)
Binneberg,Binnebergs parish
Biskopsgården,Biskopsgården parish
Bitterna,Bitterna parish
Bjurum,Bjurums parish
Bjärby,Bjärby parish
Björkekärr,Björkekärrs parish
Björketorp,Björketorps parish
Boden Municipality,Boden Town
Boorowa Shire,Murrungal Shire
Borgholm Municipality,Ölands-Åkerbo municipality
Borno State,North-Eastern State
Brämaregården,Brämaregårdens parish
Brämhult,Brämhults parish
Brålanda,Brålanda parish
Bråttensby,Bråttensby parish
Bäcke,Bäcke parish
Bäckebol,Bäckebols parish
Canada,Province of Canada
Central Denmark Region,aarhus county
Central Denmark Region,ringkjøbing county
Central Denmark Region,vejle county
Central Denmark Region,viborg county
Citibank,national city bank of new york
Citigroup,national city bank of new york
Commonwealth of the Philippines,insular government of the philippine islands
Communauté de communes de l'Est de la Somme,Communauté de communes du Pays Hamois
Communauté de communes de la Brie des Rivières et Châteaux,Communauté de communes La Brie Centrale
Communauté de communes de la Haute Ariège,Communauté de communes des Vallées d'Ax
Communauté de communes du Val Briard,communaute de communes de la brie boisee
Communauté de communes du Val Briard,communaute de communes du val breon
Communauté de communes du Val Briard,Communauté de communes de la Brie Boisée
Communauté de communes du Val Briard,communauté de communes les sources de l'yerres
Communauté de communes interrégionale Aumale - Blangy-sur-Bresle,Communauté de communes de Blangy-sur-Bresle
Communauté de communes Isigny-Omaha Intercom,Communauté de communes Intercom Balleroy Le Molay-Littry
communauté de communes Loches Sud Touraine,Communauté de communes de Montrésor
Communauté de communes Terroir de Caux,Communauté de Communes Saâne et Vienne
Communauté de communes Élan Limousin Avenir Nature,Communauté de communes Porte d'Occitanie
Cooma-Monaro Shire,Monaro Shire
Croatia,Socialist Federal Republic of Yugoslavia
Czech Republic,czech and slovak federal republic
Deutsche Gesellschaft für Internationale Zusammenarbeit,ded
Deutsche Gesellschaft für Internationale Zusammenarbeit,deutsche gesellschaft für technische zusammenarbeit
Deutsche Gesellschaft für Internationale Zusammenarbeit,internationale weiterbildung und entwicklung ggmbh
Ebonyi State,abia
Ebonyi State,coal city state
EMI Records,emi virgin music ltd
Enugu State,anambra
Freeciv,freeciv-forever
Georgia,Georgian Soviet Socialist Republic
German Democratic Party,Progressive People's Party
German People's Party,National Liberal Party
Ghana,Commonwealth realm of Ghana
Goiás,goiás province
Greenland,county of greenland
Grästorp Municipality,grästorp country municipality
Haute-Corrèze Communauté,Communauté de communes des Sources de la Creuse
Huichon,huichon-gun
Ikast-Brande Municipality,brande municipality
Ikast-Brande Municipality,ikast municipality
Ikast-Brande Municipality,nørre-snede municipality
India,kingdom of cochin
Iraq,coalition provisional authority
Israel,british mandate of palestine
Israel,Mandatory Palestine
Italian Parliament,constituent assembly of italy
Italy,italy
Japan,Empire of Japan
Kagoshima Prefecture,government of the ryukyu islands
Kagoshima Prefecture,kagoshima domain
Kagoshima Prefecture,miyakonojō prefecture
Kagoshima Prefecture,miyazaki
Kazakhstan,cccp
Kazakhstan,Kazakh Soviet Socialist Republic
Kingdom of Iraq,british mandate of mesopotamia
Kingdom of Iraq,Mandatory Iraq
Kingdom of Italy,Republic of German-Austria
Kristianstad Municipality,Degeberga municipality
Kristianstad Municipality,Oppmanna och Vånga municipality
Kushiro Subprefecture,kushiro branch office
Kyrgyzstan,cccp
Libya,gaddafi's libya
Lower Saxony,free state of oldenburg
Lower Saxony,free state of schaumburg-lippe
Lower Saxony,land hannover
Lower Saxony,state of brunswick
Lund Municipality,dalby kommun
Lund Municipality,genarp municipality
Lund Municipality,Lunds stad
Lund Municipality,södra sandby municipality
Lund Municipality,veberöd municipality
Madrid,canillas
Madrid,canillejas
Madrid,carabanchel alto
Madrid,chamartin de la rosa
Main-Taunus-Kreis,höchst district
Main-Taunus-Kreis,wiesbaden rural district
Maine,6th state
Mali,afrique occidentale française
Mali,federation du mali
Mali,french sudan
Malta,State of Malta
Markham—Stouffville,Oak Ridges—Markham
Montenegro,Republic of Montenegro
Montenegro,serbia and montenegro
Mosul,mint of nineveh
MUFG Bank,mitsubishi bank
Nazi Germany,federal state of austria
Nazi Germany,free city of danzig
Nazi Germany,german people's state
Nazi Germany,interwar lithuania
Nemuro Subprefecture,nemuro branch office
Neuchâtel,corcelles-cormondreche
Neuchâtel,peseux
Neuchâtel,valangin
North Korea,corea
North Korea,people's committee of north korea
North Macedonia,Socialist Federal Republic of Yugoslavia
Nyköping Municipality,daga kommun
Nyköping Municipality,Daga Municipality
Nyköping Municipality,gnesta kommun
Nyköping Municipality,nyköping town
Nyköping Municipality,trosa kommun
Nyköping Municipality,vagnhärad municipality
Okhotsk Subprefecture,abashiri branch office
"PDF Reference, fifth edition","PDF Reference, fourth edition"
"PDF Reference, sixth edition","PDF Reference, fifth edition"
"PDF Reference, third edition","PDF Reference, second edition"
Philippines,Commonwealth of the Philippines
Pickering—Uxbridge,Ajax—Pickering
Pickering—Uxbridge,pickering--scarborough east
Playford,Elizabeth
Podolian Voivodeship,duchy of podolia
Poland,congress kingdom of poland
Poland,rada narodowa księstwa cieszyńskiego
Poland,regency council
Poland,republic of tarnobrzeg
Port Adelaide Enfield,Enfield
Port Adelaide Enfield,Port Adelaide
Priverno,privernum
Prospect,Enfield
Ringkøbing-Skjern Municipality,egvad municipality
Ringkøbing-Skjern Municipality,holmsland municipality
Ringkøbing-Skjern Municipality,ringkøbing municipality
Ringkøbing-Skjern Municipality,skjern municipality
Ringkøbing-Skjern Municipality,videbæk municipality
Romania,ceauşescu romania
Romania,romania
Romania,Socialist Republic of Romania
