Subject,Object
101 Piscium,23.9435097242
20 Camelopardalis,84.3626859713
24 Ophiuchi,254.200144637
26 Canis Majoris,108.050894619
26 Draconis,263.748306806
2MASS J05300215-6956171,82.5090283510422
2MASS J06302940+0504123,97.6225253152687
2MASS J06310608+0457529,97.7753526692383
2MASS J07323341+7241408,113.1391825490457
2MASS J14382831+8229397,219.6180675389593
2MASS J17532059+2516492,268.3358216454753
2MASS J18314638-0210403,277.9432521778834
2MASS J19002573+4537087,285.1072569250158
2MASS J19141637+4232025,288.5682184612177
2MASS J19264357+4807193,291.6815848426463
2MASS J19283666+4056278,292.1527538080932
2MASS J19371884+4346391,294.3285299751086
2MASS J19395696+4334456,294.9873503052093
2MASS J19453187+4724345,296.3827957059777
2MASS J19503280+4010153,297.6366804970562
2MASS J20431402+1536021,310.8084512690849
2MASS J21402500+5816106,325.1042088135856
2MASS J21402588+5815262,325.1078210387059
2MASS J23172102+5928480,349.3375833
2MASS6X J01015581-7232401,15.482552
39 Draconis,275.977526707
40 Eridani A,63.81799885833
42 Draconis b,276.49640991498217
51 Pegasi b,344.36658506978085
6 Draconis,188.683413698
9 Persei,35.5893117395513
[FK2002] 229,221.9542
[FK2002] 6,6.8662
[FK2002] 84,135.5667
[GBN2014] 31,237.8706
[GBN2014] 34,238.5121
[GBN2014] 72,253.1107
[GTC2005] 6,170.065
[HS80] B182,23.4044013894821
[MMF2013] F2 ch2-1-s0020,210.71034
[MMF2013] F2 ch2-2-s0032,210.71326
[PCC2011] C2,247.045875
[PCC2011] C3,247.045792
[SS2011b] F1-37502,210.90492021
[SS2011b] F2-5628,210.75993
[SSF98] V5,210.85588
[SXY2015] 21,354.0591
[T98b] 70,8.47042
Abell 2199,247.15417
Abell 2261,260.61792
Abell 262,28.21
Abell 2744,3.583458
Alnilam,84.053388941
Alpha Caeli,70.1404688057
ASAS J091748+1544.1,139.449878745409
BD+08 102,11.00552660007
BD+44 1302,88.2117216822523
CD-60 6745,265.0283509983981
Centaurus A,201.365062879
Circinus Galaxy,213.291275
Cl* NGC 6811 SAN 255,294.6715602857332
Cl* NGC 7654 CKK V16,351.20524106295954
Delta Equulei,318.620063782
Delta Equulei,318.62006378208
DS Crucis,192.8249009495508
Epsilon Coronae Australis,284.68042
Epsilon Coronae Australis,284.68076131
Epsilon Coronae Borealis,239.39688111375
Epsilon Eridani b,53.232687333
Epsilon Eridani b,53.2326873475
G 115-42,135.1353185400642
G 130-68,6.14533064965042
G 169-29,252.7414031290863
G 210-2,302.0749024
G 253-6,118.9747032817914
G 29-69,357.3125871188628
G 68-5,349.3672834256
G 75-30,39.3736741056821
Gamma Doradus,64.006610927
Gliese 174,70.3285639326502
Gliese 208,84.1291267933
Gliese 436 b,175.54622167
Gliese 436 b,175.546222448
Gliese 777,300.905875
HAT-P-7,292.247307844
HD 104985 b,181.3129904261104
HD 109749 b,189.31824419797752
HD 109749 b,189.318244198
HD 113889,196.207272191
HD 124237,213.6403354470791
HD 125040,214.136846904
HD 126961,217.1297402892753
HD 13043,31.8928039757625
HD 14433,35.4809802307362
HD 147528,245.5294450407191
HD 149026 b,247.62341035
HD 149026 b,247.623410350485
HD 15239,37.40726367457333
HD 159870,263.3817067566923
HD 164595,270.1620610825514
HD 175950,284.8518381742724
HD 192639,303.6267812667419
HD 194279,305.825687607359
HD 195592,307.6457043483497
HD 23089,56.5097084565
HD 27894,65.1960254442
HD 92207,159.3627841431903
HD 96248,166.2398608844576
IC 756,180.7408790306045
Iota Apodis,260.5244814805057
Kapteyn's Star,77.9191243315
L 1159-16,30.0539841391376
LCLG-03 076,168.900375
LCLG-03 082,170.713875
LCLG-12 061,168.962208
LCLG-12 062,169.050042
LCLG-12 068,170.925583
LP 229-30,280.842189716355
LP 275-68,248.8642923482703
LP 377-100,187.3630066357522
LP 625-34,250.0249348718491
LP 98-79,217.6574586499206
Mahtessian 252,246.875
Mahtessian 56,137.61625
Messier 82,148.9684583
MLCG 0619,227.106705
MLCG 1580,354.64333
Mu Arae c,266.03626514261543
