Subject,Object
Albania,1747593
Albania,1762645
Albania,1770478
Albania,1772138
Argentina,41339571
Argentina,41796990
Argentina,42248949
Argentina,42696478
Australia,21819366
Australia,22120168
Australia,22182436
Australia,22499333
Australia,23600172
Austria,5196085
Austria,5238479
Austria,5283472
Austria,5357839
Bangladesh,52009072
Botswana,1754091
Botswana,1804813
Botswana,1852275
Botswana,1899705
Boudh district,20424
Cachar district,1421153
Cameroon,14687684
Cameroon,15248270
Cameroon,15815458
Cameroon,16395044
Central African Republic,2175935
Central African Republic,2254648
Central African Republic,2327367
Central African Republic,2405727
Chad,3754173
Chad,3914834
Chad,4085514
Chad,4264761
Coimbatore district,839105
Czech Republic,7796754
Czech Republic,7888753
Czech Republic,7922941
Czech Republic,7937601
Darrang district,873006
Federated States of Micronesia,25408
Federated States of Micronesia,25709
Federated States of Micronesia,26097
Federated States of Micronesia,26505
France,54388182
France,54715704
France,55053076
France,55402736
Ghana,17875345
Ghana,18455138
Ghana,19038233
Ghana,19621881
Goalpara district,138062
India,377106125
India,469340000
Iraq,29376265
Iraq,30169923
Iraq,30960655
Iraq,31749763
Iraq,32361557
Israel,8375041
Israel,8531985
Israel,8684851
Israel,8865824
Italy,42189154
Italy,42224765
Italy,42234940
Italy,42249963
Japan,115058684
Japan,115459909
Japan,115884871
Japan,116119928
Kartal,20139
Kartal,337390
Kartal,35381
Kartal,426680
Kartal,426748
Kartal,427111
Kartal,432199
Kartal,440887
Kartal,443293
Kartal,447110
Kartal,450498
Kartal,457552
Kartal,459298
Kartal,461155
Kartal,463433
Kartal,470676
Kartal,474514
Kartal,480738
Kartal,506477
Kartal,53073
Kartal,557664
Kartal,68291
Kazakhstan,10652767
Kazakhstan,10816580
Kazakhstan,11096634
Kazakhstan,11386327
Kyrgyzstan,2362388
Kyrgyzstan,2425088
Kyrgyzstan,2516047
Kyrgyzstan,2612867
Lesotho,636217
Lesotho,654320
Lesotho,672573
Lesotho,690433
Libya,5281087
Libya,5369132
Libya,5455170
Libya,5538569
Mali,10265849
Mali,8871964
Mali,9319264
Mali,9786489
Mauritius,515236
Mauritius,516027
Mauritius,516091
Mauritius,516348
Montenegro,417692
Montenegro,419307
Montenegro,419986
Montenegro,420717
Morocco,22869599
Morocco,23309111
Morocco,23753114
Morocco,24196351
Nayagarh district,79738
Netherlands,15935776
Netherlands,16087342
Netherlands,16230689
Netherlands,16441734
New Zealand,4312734
New Zealand,4413152
New Zealand,4436046
New Zealand,4446028
Nilgiris district,299739
North Korea,16002886
North Korea,16136385
North Korea,16269323
North Korea,16401834
Palau,14417
Palau,14555
Palau,14686
Palau,14797
Paraguay,4040715
Paraguay,4115703
Paraguay,4189606
Paraguay,4259528
Peru,25635888
Peru,26076625
Peru,26466645
Peru,26799750
Philippines,58930729
Poland,22142391
Poland,22676585
Poland,22755739
Poland,22793332
Romania,10378525
Romania,10388823
Romania,10440610
Romania,10476962
Santhanuthala Padu mandal,3358
Slovakia,2928203
Slovakia,2930459
Slovakia,2931708
Slovakia,2934665
Spain,37974181
Spain,38276186
Spain,38433346
Spain,38845702
Sweden,9015406
Sweden,9108648
Sweden,9190703
Sweden,9280104
Thailand,36147331
Thailand,36759934
Thailand,37349283
Thailand,37919842
Thrissur district,2096406
Tirunelveli district,1557004
Turkey,62454830
Turkey,63459911
Turkey,64430760
Turkey,65453229
Turkmenistan,3205334
Turkmenistan,3282480
Turkmenistan,3361056
Turkmenistan,3440076
Uganda,10462825
Uganda,11080727
Uganda,11717016
Uganda,12360019
Ukraine,26569220
Ukraine,30587737
Ukraine,30772133
Ukraine,30897778
United Kingdom,55909924
United Kingdom,56283168
United Kingdom,56403965
United Kingdom,57214248
Vietnam,36564680
Zambia,8100644
Zambia,8447250
Zambia,8800295
Zambia,9160288
