Subject,Object
.NET Framework,.net
.NET Framework,.net core
0,5
1,1 a.d.
1,1 e0
1,singleton 1
1947,1947
1951,1951
2,2.
2,rieul
30s,1830s
5,additive identity
7,7.
7,bakwai
7,tironian et
Adjara,adjarra
Adobe AIR,air
Albania,albanien
All-Athletics.com ID,World Athletics athlete ID
AlloCiné company ID,AlloCiné film ID
Animator.ru person ID,Animator.ru film ID
Apollo 13,apollo 13
Aquaculture,fishing industry
Argentine deputy votations ID,Argentine Chamber of Deputies ID
artist-info artist ID,ULAN ID
artist-info curator ID,ULAN ID
artist-info exhibition ID,ULAN ID
artist-info location ID,ULAN ID
Aslaug,aslaug
Asmara,asmara
Asmara,asmara: a modernist african city
August,august
August,sierpień
Barcelona,barcelos
Bargeton ID,Personnel de l'administration préfectorale ID
Berkshire,berkshire
Berlin-Lichtenberg station,berlin-lichtenberg
Bern,brno
BFI Filmography person ID,BFI National Archive work ID
Blender,bermixer
Blender,egg-beater
Blender,juice extractor
Bludenz,bludenz railway station
Brno,bern
Chamberí,chamberí
cinematografo.it name or company ID,cinematografo film ID
Ciudad Lineal,ciudad lineal
Clwyd,river clwyd
Cockroach Species File ID,Coreoidea Species File ID
Coin,currencies
Coin,moneta
Coin,munt
Coreoidea Species File ID,Cockroach Species File ID
Cyrillic script,cyrillic-script alphabet
December,december
Detroit,detroit 2
Detroit,detroit beach
Detroit,detroit lake
Detroit,detroit township
Detroit,le détroit
Detroit,strait
Detroit,the narrows
Detroit,wheels
Deutsche Ultramarathon-Vereinigung ID,ITRA runner ID
Dictionnaire critique des historiens de l'art ID,Critique d'art ID
Dobrich,dobrich (disambiguation)
DoME artist ID,ULAN ID
"El Palmar, Murcia",el palmar
Elsevier,elsevier weekblad
EMI,e.m.i.
EMI Records,e.m.i.
Enyo,enyo
ERIH PLUS ID,Norwegian Register journal ID
Esperanto,d-ro esperanto
FIDAL athlete ID,Power of 10 athlete ID
FilmTv.it person ID,FilmTv.it movie ID
Find My Friends,com.apple.findmy
Find My Friends,com.apple.mobileme.fmip1
Find My iPhone,find friends
Find My iPhone,find my device
First Epistle of John,bible. john
French Athletics Federation athlete ID,Power of 10 athlete ID
Fukuoka,fukuoka
German People's Party,german people's party (1868)
Gloucestershire,gloucestershire
Gmina Czerniejewo,czerniejewo
Gmina Pasłęk,pasłęk
GNU Emacs,editor macros
Good Friday,easter friday
Google Glass,google goggles
Grand Prix of Figure Skating Final,isu junior grand prix final
Helvetica,helvetica neue
High Tatras,vysoké tatry
Hortaleza,ceara
Hämeenlinna,hämeenlinna sub-region
Impressionism,inshow-ha
In Blue,in blue
Ishmael,izmael
ITRA runner ID,Deutsche Ultramarathon-Vereinigung ID
ITRA runner ID,UltraSignup runner ID
Jack Elliott,jack elliott
Jacob,jakub
January,1st month
Kingdom of the Netherlands,dutch state
Kingdom of the Netherlands,holland
Kiskunfélegyháza District,kiskunfélegyháza
Kokkola,kokkola sub-region
Kurdistan Workers' Party,ip
Lake Bracciano,bracciano
Landeck,landeck
Lesser Poland Voivodeship,cracow voivodeship
Lesser Poland Voivodeship,krakow voivodeship
Lesser Poland Voivodeship,kraków voivodeship (1975–1998)
Lesser Poland Voivodeship,lesser poland
Levi,lewi
Libya,libya
