Subject,Object
51 Pegasi b,0.0527
87 Sylvia,3.48451878221
Epsilon Eridani b,3.39
Epsilon Eridani b,3.4
Epsilon Eridani b,3.5
Epsilon Eridani b,3.53
Gliese 436 b,0.0278
Gliese 436 b,0.028
Gliese 436 b,0.02849
Gliese 436 b,0.0285
Gliese 436 b,0.0287
Gliese 436 b,0.02872
Gliese 436 b,0.02887
Gliese 436 b,0.029
Gliese 436 b,0.0291
Gliese 436 b,0.0308
Gliese 436 b,0.03109
HD 109749 b,0.06
HD 109749 b,0.0615
HD 109749 b,0.0635
HD 149026 b,0.042
HD 149026 b,0.04288
HD 149026 b,0.04313
HD 149026 b,0.0432
HD 149026 b,0.04364
Moon,384400
Sponde,23487000
