Subject,Object
Aaron,male
Ahab,male
Aline Bonetto,f
Alison Owen,f
Anna Konkina,f
Aragorn,male
Arya Stark,f
Arya Stark,female
Aslaug,f
Aslaug,female
Aya Sumika,f
Baldur,male
Barry Allen,male
Bart Simpson,male
Bashful,male
Bentina Beakley,female
Beth McCarthy-Miller,f
Big Bad Wolf,male
Bran Stark,male
Butch O'Really,male
Cable,male
Cinderella,f
Clyde,male
Colleen Hanabusa,f
Corinna Halke,f
Cyborg,male
Cyrus the Great,male
Danny Torrance,male
Ender Wiggin,male
Enyo,f
Erendis,female
Esta Soler,f
Father Christmas,male
Galina Tsareva,f
Granny Goodness,f
Grumpy,male
Happy,male
Hegemone,f
Inderpal Grewal,f
Jack Frost,male
Jehoshaphat,male
Joaquin de la Vega,male
Jotham of Judah,male
Judy Baar Topinka,f
Kadamattathu Kathanar,male
Krishna,male
Kristi Noem,f
Kyoko Kirigiri,f
Launchpad McQuack,male
Levi,male
Liliána Szilágyi,f
Lisa Simpson,f
Lisa Simpson,female
Ludwig Von Drake,male
Madame Rouge,f
Maria Martinez,f
Marianne Vos,f
Marie-Josephte Corriveau,f
Marie-Josephte Corriveau,female
Marilyn Monroe,f
Martian Manhunter,male
May Berenbaum,f
Maya Penn,f
Maysoon Zayid,f
Melusine,f
Melusine,female
Monroe Flem,male
Moses,male
Nereus,male
Patty Spivot,f
Princess Leia,f
Professor Hamilton,male
Rama,male
Remus,male
Robert Arryn,male
Rodney,male
Romulus,male
Russian,male
Sarabi,f
Seymour Gutz,male
Shahryar,male
Sheila Hicks,f
Sinterklaas,male
Sita,f
Sita,female
Sleepy,male
Sneezy,male
Snegurochka,f
Snegurochka,female
Sonja Härdin,f
Steve Trevor,male
Tar-Ancalimë,female
Thor,male
Till Eulenspiegel,male
Verónica Boquete,f
Virgin Mary,female
wicked fairy godmother,female
Yuno Gasai,f
Zedekiah,male
Zeus,male
Éowyn,f
Éowyn,female
