Subject,Object
1st International Workshop on Deep Learning for Knowledge Graphs and Semantic Technologies,DL4KGs
2015–16 Cypriot First Division,Α΄ κατηγορία 2015-16
Alberta,AB
Alberta,Alb.
Alberta,Alta.
Alberta,Альберта
Alexey Lutsenko,Алексей Луценко
Allgemeiner Deutscher Fahrrad-Club,ADFC
Altenburg,Al
American Numismatic Society,ANS
Ancient Greek,greka
Ancient Greek,qədim yunanca
Andrei Zintchenko,Андрей Зинченко
Anna Konkina,Анна Конкина
Arabic,ərəbcə
Arabic,араббаг
Arabic,арабская
Arabic,арабски
Arabic,арабский
Arabic,арабська
Arabic,арабша
Arabic,арабӣ
Arabic,العربية
Aréthuse-class submarine,Aréthuse
August,Aug
August,Αύγ.
Australia,AUS
Australia,Австралия
Australia,Австралія
Australian Football League,AFL
Baden-Württemberg,BW
Bayerischer Rundfunk,BR
Berlin,B
Berlin,Berlín
Biblioteca Nazionale Centrale di Roma,BNCR
Bluefish,P. saltatrix
BNP Paribas,BNPP
Bohuslän Regiment,I 17
Boudh district,BDH
Boötes,Boo
Bremen,Bre
Bruchsal,Bru
Buenos Aires,Bos Aires
Buenos Aires,Buenos Aires
Bund für Umwelt und Naturschutz Deutschland,BUND
Calw,Caw
Canis Major,CMa
Central African Republic,AEE
Central African Republic,CAR
Central African Republic,CĀR
Central African Republic,KAV
Central African Republic,MAR
Central African Republic,OAR
Central African Republic,RCA
Central African Republic,RĊA
Central African Republic,RŚA
Central African Republic,SAR
Central African Republic,БАР
Central African Republic,МАР
Central African Republic,ОАР
Central African Republic,ЦАР
Central African Republic,وار
Central African Republic,中央アフリカ
Central African Republic,중아공
China Standard Time,CNST
China Standard Time,CST
China Standard Time,CTS
Cistercians,O. Cist
Citigroup,Citi
Civilian Conservation Corps,CCC
Columbia Records,Columbia
Columbia TriStar Television,CTT
Comisión Nacional de los Mercados y la Competencia,CNMC
Costa Rican Football Federation,FEDEFUTBOL
Czech Republic,Chequia
Czech Republic,Czechia
Czech Republic,Tchéquie
Czech Republic,Tschechien
Czech Republic,Çekya
Czech Republic,Ĉeĥio
Czech Republic,Ĉeĥujo
Czech Republic,Česko
Czech Republic,ČR
Czech Republic,تشيكيا
