Subject,Object
1975 NBA Draft,David Thompson
1980 NHL Entry Draft,Doug Wickenheiser
1982 NHL Entry Draft,Gord Kluzak
1983 NHL Entry Draft,Brian Lawton
1988 NHL Entry Draft,Mike Modano
1997 NBA Draft,Tim Duncan
2000 NBA Draft,Kenyon Martin
2003 NHL Entry Draft,Marc-André Fleury
2009 NBA Draft,Blake Griffin
2009 NHL Entry Draft,John Tavares
2012 NHL Entry Draft,Nail Yakupov
2018-2019 Spanish Figure Skating Championships - senior ice dancing rhythm dance,Candice Towler-Green
2019 CS Autumn Classic International - ice dancing rhythm dance,Lauren Senft
2019 CS U.S. International Figure Skating Classic - ice dancing rhythm dance,Jeroen Prins
2019 Junior Grand Prix France - ice dancing rhythm dance,Linda Leaver
2019 Junior Grand Prix Latvia - ice dancing rhythm dance,Alexei Beletski
2019 Junior Grand Prix Russia - ice dancing rhythm dance,Nadezhda Paretskaia
2019 Junior Grand Prix United States - ice dancing rhythm dance,Kristin Fraser
2019 NRW Trophy - senior ice dancing rhythm dance,Jeroen Prins
Impressionism,a. renoir
Impressionism,a. sisley
Impressionism,c. pissaro
Impressionism,cezanne
Impressionism,degas
Impressionism,eugene henri paul gauguin
Impressionism,vincent van gogh
Midian,shuayb
Nazi Germany,heinrich himmler
