Subject,Object
Apollo 14,Saturn V
Apollo 15,Saturn V
Apollo 17,Saturn V
BSAT-4a,ariane 5 eca
BSAT-4a,Ariane 5ECA
Gemini 2,gemini-titan ii
GSAT-14,Geosynchronous Satellite Launch Vehicle Mark II
HYLAS-4,ariane 5 eca
HYLAS-4,Ariane 5ECA
INSAT-1C,Ariane 3
INSAT-3B,Ariane 5
INSAT-3B,ariane 5g
IRNSS-1I,Polar Satellite Launch Vehicle-XL
James Webb Space Telescope,ariane 5 eca
Kalpana-1,Polar Satellite Launch Vehicle-G
Kosmos 1001,soyuz-u
Kosmos 1074,soyuz-u
Kosmos 212,11a511
Kosmos 573,11a511
Kosmos 613,11a511
Kosmos 638,soyuz-u
Kosmos 670,soyuz-u
Kosmos 672,soyuz-u
Kosmos 772,soyuz-u
Mercury-Redstone 2,Mercury-Redstone Launch Vehicle
Mercury-Redstone 4,Mercury-Redstone Launch Vehicle
Mohammed VI - B,Vega
PAZ,Falcon 9 Full Thrust
QUESS,Long March 2D
Rohini Satellite RS-1,Satellite Launch Vehicle 3
SAOCOM 1A,Falcon 9 Block 5
Sentinel-1B,Soyuz-2.1a
Sentinel-3A,Rokot
Sentinel-3B,Rokot
SES-14,ariane 5 eca
SES-14,Ariane 5ECA
Soyuz 2,soyuz
Soyuz T-1,soyuz-u
Soyuz TM-1,soyuz-u2
Soyuz TM-14,soyuz-u2
Soyuz TM-20,soyuz-u2
Soyuz TM-21,soyuz-u2
Soyuz TM-22,soyuz-u2
Soyuz TM-3,soyuz-u2
Soyuz TM-7,soyuz-u2
Superbird-B3,ariane 5 eca
Superbird-B3,Ariane 5ECA
