Subject,Object
1932 Grand Prix des Nations,37.129
1933 Grand Prix des Nations,35.194
1934 Grand Prix des Nations,38.703
1935 Grand Prix des Nations,36.621
1949 Liège–Bastogne–Liège,36.775
1951 Liège–Bastogne–Liège,37.124
1952 Liège–Bastogne–Liège,35.4
1953 Liège–Bastogne–Liège,34.215
1954 Liège–Bastogne–Liège,34.016
1958 Milan–San Remo,42.179
1972 Tirreno–Adriatico,37.172
1981 Tirreno–Adriatico,39.742
1989 Milan–San Remo,41.184
2013 Danmark Rundt,42.724
2013 Eneco Tour,42.81
2013 La Flèche Wallonne Féminine,36.778
2014 Danmark Rundt,43.343
2014 La Flèche Wallonne Féminine,36.862
2015 Paris–Roubaix,43.476
2016 GP Laguna,40.219
2016 La Flèche Wallonne Féminine,35.646
2016 Tour de France,39.616
2016 Volta a Catalunya,39.548
2017 Gran Premio di Lugano,36.605
2017 Grand Prix de Fourmies,46.86
2017 Grand Prix Impanis-Van Petegem,43.383
2017 Kuurne–Brussels–Kuurne,43.345
2017 Milano–Torino,42.137
2017 Paris–Roubaix,45.204
2017 Tour de France,40.996
"2017 Tour de France, Stage 8",41.592
"2017 Tour de France, Stage 9",35.43
2017 Tour Down Under,40.24
2017 Tre Valli Varesine,40.03
"2017 Vuelta a España, Stage 15",36.025
2018 Classica Aldeias do Xisto,37.589
2018 Classica da Arrábida,48.5
2018 Le Samyn,41.696
2018 Paris–Roubaix,43.55
2018 Paris–Troyes,40.08
2018 Tour of Norway,42.337
2018 UCI Road World Championships – Women's road race,37.33
2018 Volta a Catalunya,39.995
2019 Le Samyn,43.11
2019 Paris–Roubaix,43.07
2019 Ringerike Grand Prix,40.527
2019 Sundvolden Grand Prix,39.933
2019 Tour of Norway,42.626
2019 UCI Road World Championships – Women's road race,36.4
CCGS Des Groseilliers,16.5
CCGS Terry Fox,16
Cheetah Hunt,96.6
Cobra,75.6
Dodonpa,180.0
Homo sapiens,12.42
Italian battleship Conte di Cavour,22.2
RMS Queen Mary,33
RMS Transvaal Castle,22.5
SMS Ostfriesland,21
SMS Thüringen,21
SMS Westfalen,20.2
SS Huntsend,15
Top Thrill Dragster,193.1
