Subject,Object
actinium-215,4.5
actinium-216,1.0
actinium-217,4.5
actinium-218,1.0
barium-127m,3.5
barium-129m,3.5
barium-131m,4.5
barium-133m,5.5
cerium-122,0.0
cerium-124,0.0
cerium-125,3.5
cerium-126,0.0
cerium-127,0.5
cerium-128,0.0
cerium-129,2.5
cerium-130,0.0
cerium-131,3.5
cerium-132,0.0
dysprosium-144,0.0
dysprosium-145,0.5
dysprosium-146,0.0
dysprosium-147,0.5
francium-221,2.5
francium-222,2.0
francium-224,1.0
francium-225,1.5
francium-226,1.0
francium-227,0.5
francium-228,2.0
francium-229,0.5
francium-231,0.5
lanthanum-127,5.5
lanthanum-128,5.0
lanthanum-129,1.5
lanthanum-131,1.5
lanthanum-132,2.0
lanthanum-133,2.5
lanthanum-134,1.0
lanthanum-140,3.0
lanthanum-141,3.5
lanthanum-142,2.0
lead-180,0.0
lead-181,4.5
lead-182,0.0
lead-183,1.5
lead-196,0.0
lead-197,1.5
lead-198,0.0
lead-199,1.5
lead-200,0.0
lead-201,2.5
potassium-34,1.0
potassium-35,1.5
potassium-36,2.0
potassium-37,1.5
potassium-38,3.0
potassium-40,4.0
potassium-42,2.0
potassium-43,1.5
potassium-44,2.0
potassium-45,1.5
potassium-46,2.0
rubidium-80,1.0
rubidium-83,2.5
rubidium-84,2.0
rubidium-85,2.5
rubidium-88,2.0
rubidium-89,1.5
ruthenium-105,1.5
ruthenium-108,0.0
ruthenium-110,0.0
ruthenium-97,2.5
silver-111,0.5
silver-113,0.5
silver-114,1.0
silver-115,0.5
silver-116,0.0
silver-117,0.5
silver-119,0.5
silver-121,3.5
silver-122,3.0
silver-123,3.5
silver-125,4.5
silver-129,4.5
yttrium-100,1.0
yttrium-101,2.5
yttrium-103,2.5
yttrium-107,2.5
yttrium-83,4.5
yttrium-84,6.0
yttrium-86,4.0
yttrium-87,0.5
yttrium-88,4.0
yttrium-97,0.5
yttrium-99,2.5
