Subject,Object
.mil,department of war
2006–07 Celtic League,bulmers irish cider
2007–08 Celtic League,bulmers irish cider
2008–09 Celtic League,bulmers irish cider
2009–10 Celtic League,bulmers irish cider
2010–11 Celtic League,bulmers irish cider
Australian Football League,toyota
Become a NIOSH-Certified B Reader.,National Institute for Occupational Safety and Health
Bevacizumab in Treating Patients With Recurrent or Progressive Glioma,Northwestern University
Blowing snow and sea ice surfaces as a source of polar sea salt aerosol,Natural Environment Research Council
Bone Marrow and Peripheral Stem Cell Transplantation in Treating Patients With Hematologic Cancer,Northwestern University
Bristol Bears,bristol energy
Coming out of the trenches... safely,National Institute for Occupational Safety and Health
Disinfectants and asthma,National Institute for Occupational Safety and Health
Docklands Stadium,marvel enterprises
Effect of Chemotherapy Given Either by Mouth or by Infusion on the Quality of Life of Patients With Recurrent Ovarian Epithelial Cancer,Northwestern University
Estimating and Reducing the Cardiovascular Risk of Patients With Schizophrenia Drugs From Lipid Measures and Ischemic Electrocardiographic Changes,Northwestern University
Integrative structural biology for mechanisms of protein mis-folding and dysregulation: a Japan-UK partnership between Leeds and Osaka,Biotechnology and Biological Sciences Research Council
Inter Milan,frecciarossa
Junctional multiprotein signaling complexes in sensory neurons,Biotechnology and Biological Sciences Research Council
Leicester Tigers,topps tiles
Linux,lf
New causes of occupational asthma,National Institute for Occupational Safety and Health
Octreotide as Palliative Therapy for Cancer-Related Bowel Obstruction That Cannot Be Removed by Surgery,Northwestern University
"Pemetrexed Disodium in Treating Patients With Recurrent Malignant Gliomas, Primary CNS Lymphoma, or Brain Metastases",Northwestern University
Southern Ocean Seaspray Aerosol Flux Experiment,Natural Environment Research Council
The PACE-MI Registry Study - Outcomes of Beta-blocker Therapy After Myocardial Infarction,Northwestern University
Thwaites Interdisciplinary Margin Evolution,Natural Environment Research Council
Using climate change information in ecosystems services for poverty alleviation research in China,Natural Environment Research Council
Vatalanib in Treating Patients With Recurrent or Progressive Meningioma,Northwestern University
Wholesale and retail trade: NORA sector council bulletin,National Institute for Occupational Safety and Health
