Subject,Object
1873 FA Cup Final,association football
1897 European Rowing Championships,competitive rowing
1907 Giro del Piemonte,road bicycle racing
1909 European Rowing Championships,rowing
1910 Giro del Piemonte,road bicycle racing
1911 Giro del Piemonte,road bicycle racing
1912 Giro del Piemonte,road bicycle racing
1913 Giro del Piemonte,road bicycle racing
1914 FA Cup Final,association football
1914 Giro del Piemonte,road bicycle racing
1915 Giro del Piemonte,road bicycle racing
1916 Giro del Piemonte,road bicycle racing
1917 Giro del Piemonte,road bicycle racing
1918 Giro del Piemonte,road bicycle racing
1922 European Rowing Championships,competitive rowing
1926 European Rowing Championships,rowing
1927 European Rowing Championships,rowing
1927 Irish Open Badminton Championships,badminton
1930 European Rowing Championships,competitive rowing
1931 European Rowing Championships,competitive rowing
1938 Swedish Badminton Championships,badminton
1940 Swedish Badminton Championships,badminton
1942 Swedish Badminton Championships,badminton
1944 Swedish Badminton Championships,badminton
1946 Swedish Badminton Championships,badminton
1949 Belgian Badminton Championships,badminton
1949 Filipino Badminton Championships,badminton
1950 Filipino Badminton Championships,badminton
1951 Belgian Badminton Championships,badminton
1951 Filipino Badminton Championships,badminton
1951 Liège–Bastogne–Liège,bicycle road cycling
1952 Belgian Badminton Championships,badminton
1952 Filipino Badminton Championships,badminton
1952 Liège–Bastogne–Liège,bicycle road cycling
1953 Belgian Badminton Championships,badminton
1953 European Rowing Championships,competitive rowing
1954 Belgian Badminton Championships,badminton
1954 European Rowing Championships,competitive rowing
1955 Belgian Badminton Championships,badminton
1955 Icelandic Badminton Championships,badminton
1956 Belgian Badminton Championships,badminton
1956 European Rowing Championships,rowing
1956 FA Cup Final,association football
1956 Icelandic Badminton Championships,badminton
1956 US Open Badminton Championships,badminton
1957 Belgian Badminton Championships,badminton
1957 Icelandic Badminton Championships,badminton
1957 US Open Badminton Championships,badminton
1958 Belgian Badminton Championships,badminton
1958 Icelandic Badminton Championships,badminton
1958 Milan–San Remo,bicycle road cycling
1958 Swedish Open Badminton Championships,badminton
1958 US Open Badminton Championships,badminton
1959 Icelandic Badminton Championships,badminton
1959 US Open Badminton Championships,badminton
1960 Icelandic Badminton Championships,badminton
1960 US Open Badminton Championships,badminton
1961 Icelandic Badminton Championships,badminton
1962 European Athletics Championships,athletics
1962 European Rowing Championships,rowing
1962 Malaysia Open Badminton Championships,badminton
1962 Swedish Open Badminton Championships,badminton
1963 Uber Cup,badminton
1963 US Open Badminton Championships,badminton
1964 European Rowing Championships,competitive rowing
1964 European Rowing Championships,rowing
1964 US Open Badminton Championships,badminton
1965 US Open Badminton Championships,badminton
1966 Uber Cup,badminton
1967 Swedish Open Badminton Championships,badminton
1968 European Indoor Games,athletics
1968 Irish Open Badminton Championships,badminton
1968 Tirreno–Adriatico,road bicycle racing
1969 European Indoor Games,athletics
1969 Swedish Open Badminton Championships,badminton
1969 Tirreno–Adriatico,bicycle road cycling
1969 Tirreno–Adriatico,road bicycle racing
1972 Swedish Open Badminton Championships,badminton
1972 Tirreno–Adriatico,bicycle road cycling
1972 Tirreno–Adriatico,road bicycle racing
1973 Dutch Grand Prix,auto racing
1973 European Junior Badminton Championships,badminton
1973 Swedish Open Badminton Championships,badminton
1974 GDR Badminton Championships,badminton
1974 Monaco Grand Prix,auto racing
1974 Tirreno–Adriatico,road bicycle racing
1975 Monaco Grand Prix,auto racing
1975 Tirreno–Adriatico,road bicycle racing
1975 Toray Sillook Open,tennis
1975 Uber Cup,badminton
1976 American Airlines Tennis Games,lawn tennis
1976 American Airlines Tennis Games – Singles,lawn tennis
1976 Dutch Grand Prix,auto racing
1976 Monaco Grand Prix,auto racing
1977 European Junior Badminton Championships,badminton
1977 Plume d’Or,badminton
1977 Tour of the Netherlands,road bicycle racing
1978 Bordeaux–Paris,road bicycle racing
1978 GDR Badminton Championships,badminton
1978 Pan American Badminton Championships,badminton
1978 Plume d’Or,badminton
1978 Uber Cup,badminton
1979 ABN World Tennis Tournament,lawn tennis
