Subject,Object
1968 European Indoor Games,european athletics indoor championships
1969 European Indoor Games,european athletics indoor championships
1979 Formula One season,fia formula one world championship
1979 German Grand Prix,german grand prix
1983 German Grand Prix,german grand prix
1984 German Grand Prix,german grand prix
1986 German Grand Prix,german grand prix
1987 Dow Chemical Classic,aegon classic
1994 Winter Olympics,olympic winter games
2000 African Badminton Championships,africa badminton championships
2000 DFS Classic,aegon classic
2006 Australian Grand Prix,ausgp
2006–07 Celtic League,guinness pro 14
2007–08 Celtic League,guinness pro 14
2008 Australian Grand Prix,ausgp
2008–09 Celtic League,guinness pro 14
2009 African Badminton Championships,africa badminton championships
2009–10 Celtic League,guinness pro 14
2010–11 Celtic League,guinness pro 14
2011 African Badminton Championships,africa badminton championships
2011 Australian Grand Prix,ausgp
2012 Toray Pan Pacific Open,pan pacific open
2014–15 Pro12,guinness pro 14
2015–16 Pro12,guinness pro 14
2016 European Grand Prix,european grand prix
2016–17 Pro12,guinness pro 14
2017 Canadian Grand Prix,canadian grand prix
2017 European Athletics Indoor Championships,european athletics indoor championships
2017 Six Nations Championship,Six Nations Championship
2018 Six Nations Championship,Six Nations Championship
2018 Winter Olympics,olympic winter games
2019 Six Nations Championship,6 nations
2019 Six Nations Championship,Six Nations Championship
23rd Chess Olympiad,chess olympiad
24th Chess Olympiad,chess olympiad
29th Chess Olympiad,chess olympiad
FIDE World Chess Championship 1996,fide world chess championships 1998-2004
FIDE World Chess Championship 1998,fide world chess championships 1998-2004
FIDE World Chess Championship 2004,fide world chess championships 1998-2004
FIDE World Chess Championship 2005,fide world chess championships 1998-2004
Freestyle skiing at the 1994 Winter Olympics,freestyle skiing at the winter olympics
Luge at the 1994 Winter Olympics,luge at the winter olympics
Nordic combined at the 1994 Winter Olympics,nordic combined at the winter olympics
Nordic skiing at the 1994 Winter Olympics,nordic skiing at the winter olympics
Rugby union at the 1900 Summer Olympics,rugby union at the summer olympics
Rugby union at the 1908 Summer Olympics,rugby union at the summer olympics
Ski jumping at the 1932 Winter Olympics,ski jumping at the winter olympics
Ski jumping at the 1960 Winter Olympics,ski jumping at the winter olympics
Ski jumping at the 1994 Winter Olympics,ski jumping at the winter olympics
World Chess Championship 1927,wcc
World Chess Championship 1929,wcc
World Chess Championship 1958,wcc
