Subject,Object
Abel,Luluwa
Abraham,hagar
Abraham,keturah
Abraham,sara
Aegina,Actor
Aeëtes,asterodeia
Aeëtes,clytia
Aeëtes,eidyia
Aeëtes,eurylyte
Aeëtes,neaera
Aragorn,Arwen
Asa of Judah,azubah
Asterodeia,Aeëtes
Barry Allen,iris ann russell west
Barry Allen,Iris West
Bragi,idun
Bram Stoker,florence ann lemon balcombe
Cain,Luluwa
Corcyra,Poseidon
Dezső Gyarmati,eva szekely
Dezső Gyarmati,margit bara
Epimetheus,Pandora
Erendis,Tar-Aldarion
Eve,Adam
Gus Grissom,betty grissom
Ishmael,bint al madad
Jacob,bilhah
Jacob,leah
Jacob,rachel
Jacob,zilpa
Jean Reno,genevieve reno
Jean Reno,nathalie dyszkiewicz
Jean Reno,zofia borucka
Krishna,aparājitā
Krishna,bhadra
Krishna,bhaiśamī
Krishna,jamwanti
Krishna,jāmbavatī
Krishna,kalindi
Krishna,lakshmana
Krishna,lalita
Krishna,mitravinda
Krishna,nagnajiti
Krishna,satrājitī
Kristi Noem,bryon noem
Levi,adinah
Luke Skywalker,mara jade
Peter,wife of Saint Peter
Prometheus,Celaeno
Sheila Hicks,enrique antúnez zañartu
Steve Trevor,Wonder Woman (Earth-Two)
Tar-Ancalimë,Hallacar
Thor,sif
Éowyn,Faramir
