Subject,Object
"2012 Eneco Tour, Stage 2",2012 Movistar Team season
"2013 Tour des Fjords, Stage 3",Belkin 2013
"2017 Giro d'Italia, Stage 14",Vincenzo Nibali
"2017 Giro d'Italia, Stage 18",Tejay van Garderen
"2017 Giro d'Italia, Stage 4",Vincenzo Nibali
"2017 Giro d'Italia, Stage 9",Vincenzo Nibali
"2017 Healthy Ageing Tour, Stage 2",GRC Jan van Arckel
"2017 Setmana Ciclista Valenciana, Stage 1",Alé Cipollini Galassia 2017
2018 Critérium du Dauphiné stage 3,Sky 2018
"2018 Giro d'Italia Femminile, stage 1",2018 Canyon-SRAM season
"2018 Giro d'Italia Femminile, stage 1",2018 FDJ-Nouvelle Aquitaine-Futuroscope season
"2018 Healthy Ageing Tour, Stage 3b",2018 Virtu Cycling Women season
"2018 Settimana Internazionale di Coppi e Bartali, Stage 1b",Sky 2018
"2018 Tirreno-Adriatico, Stage 1",Katusha-Alpecin 2018
"2018 Tour de France, stage 3",Katusha-Alpecin 2018
"2018 Volta a la Comunitat Valenciana, Stage 3",Katusha-Alpecin 2018
2018 Vuelta del Uruguay stage 2a,Club Ciclista Social y Deportivo Amanecer
"2019 Tour de France, stage 2",Sunweb 2019
