Subject,Object
1932 Grand Prix des Nations,Versailles
1933 Grand Prix des Nations,Versailles
1934 Grand Prix des Nations,Versailles
1935 Grand Prix des Nations,Versailles
1951 Liège–Bastogne–Liège,liège
1952 Liège–Bastogne–Liège,liège
1958 Milan–San Remo,mailand
1958 Milan–San Remo,Milan
1966 Milan–San Remo,Milan
1969 Tirreno–Adriatico,bracciano
"1970 Tour de Romandie, Prologue",Geneva
1980 Milan–San Remo,Milan
1981 Tirreno–Adriatico,city of seven hills
1988 Giro di Lombardia,Como
1989 Milan–San Remo,mailand
1989 Milan–San Remo,Milan
1990 Giro di Lombardia,Monza
2002 Giro di Lombardia,Cantù
2006 UCI Road World Championships – Women's road race,salzburg
2007 Clásica de San Sebastián,donostia
2007 Giro di Lombardia,Varese
2008 Scheldeprijs,antwerp
2009 Giro di Lombardia,Varese
2009 Scheldeprijs,antwerp
2011 UCI Road World Championships – Women's road race,copenhagen
2013 Danmark Rundt,silkeborg
2013 Eneco Tour,coxyde
2013 La Flèche Wallonne Féminine,Huy
2014 Giro di Lombardia,Como
2014 La Flèche Wallonne Féminine,Huy
2015 La Flèche Wallonne Féminine,Huy
2015 Milan – San Remo,Milan
2015 Paris–Roubaix,compiègne
2016 GP Laguna,Funtana
2016 La Flèche Wallonne Féminine,Huy
2016 Milan–San Remo,Milan
2016 Volta a Portugal,lisboa
2017 Clásico RCN,Marsella
2017 Milan–San Remo,Milan
2017 Tour of the Basque Country,iruña
"2018 Adriatica Ionica Race, stage 1",Musile di Piave
2018 Classica Aldeias do Xisto,Álvaro
2018 Classica da Arrábida,Sesimbra
2018 Clásico RCN,Cali
"2018 Czech Cycling Tour, stage 1",Uničov
"2018 Madrid Challenge by La Vuelta, stage 1",Boadilla del Monte
2018 Milan–San Remo,Milan
2018 Paris–Troyes,city of light
"2018 Sibiu Cycling Tour, stage 3A",Cisnădie
"2018 Tour de l'Avenir, stage 4",Orléans
"2018 Tour of Britain, stage 5",Cockermouth
"2019 Giro d'Italia, stage 15",Ivrea
"2019 Giro d'Italia, stage 17",Commezzadura
2019 Grand Prix de Plouay,Plouay
2019 Paris–Roubaix,compiègne
2019 Ringerike Grand Prix,Hønefoss
2019 Sundvolden Grand Prix,Sundvollen
2019 Tour de Langkawi,federal territory of kuala lumpur
"2019 Vuelta a España, stage 6",Mora de Rubielos
"2019 Vuelta a España, stage 8",Valls
Akari,Uchinoura Space Center
Astrosat,Satish Dhawan Space Centre First Launch Pad
BSAT-4a,ariane 5 launchpad
CHEOPS,els
CHEOPS,Ensemble de Lancement Soyouz
Gemini 2,cape canaveral afs launch complex 19
Gran Premio Femenino de Plouay 2018,Plouay
GSAT-14,Satish Dhawan Space Centre Second Launch Pad
Hitomi,Yoshinobu Launch Complex
HYLAS-4,ariane 5 launchpad
Imperial Trans-Antarctic Expedition,augusta
Imperial Trans-Antarctic Expedition,plymouth
INSAT-1C,ELV
INSAT-3B,ariane 5 launchpad
James Webb Space Telescope,ariane 5 launchpad
Kalpana-1,Satish Dhawan Space Centre First Launch Pad
Kosmos 1001,5 gik
Kosmos 1074,5 gik
Kosmos 212,5 gik
Kosmos 212,baikonur cosmodrome site 31
Kosmos 213,Baikonur Cosmodrome
Kosmos 238,Baikonur Cosmodrome
Kosmos 496,Baikonur Cosmodrome
Kosmos 573,5 gik
Kosmos 613,5 gik
Kosmos 638,5 gik
Kosmos 670,5 gik
Kosmos 670,baikonur cosmodrome site 1
Kosmos 672,5 gik
Kosmos 772,5 gik
Milan – San Remo 2019,Milan
Mohammed VI - B,ELV
Nimrod Expedition,torquay
Nuclear Spectroscopic Telescope Array,Stargazer
Roll on the Red Tour,nurburg
SAOCOM 1A,Vandenberg AFB Space Launch Complex 4
Second voyage of HMS Beagle,plymouth
Sentinel-1B,els
Sentinel-1B,Ensemble de Lancement Soyouz
Sentinel-3A,Plesetsk Cosmodrome Site 133
Sentinel-3B,Plesetsk Cosmodrome Site 133
SES-14,ariane 5 launchpad
Solar and Heliospheric Observatory,Spaceport Florida Launch Complex 36
Solar Dynamics Observatory,Cape Canaveral Air Force Station Space Launch Complex 41
Soyuz 2,5 gik
Soyuz 20,Baikonur Cosmodrome
Soyuz T-1,5 gik
Soyuz TM-1,5 gik
Soyuz TM-14,5 gik
Soyuz TM-20,5 gik
Soyuz TM-21,5 gik
Soyuz TM-22,5 gik
Soyuz TM-3,5 gik
Soyuz TM-7,baikonur cosmodrome site 1
Soyuz TMA-10,5 gik
Soyuz TMA-11,5 gik
Soyuz TMA-2,5 gik
Soyuz TMA-9,5 gik
Superbird-B3,ariane 5 launchpad
Wilkinson Microwave Anisotropy Probe,Cape Canaveral Air Force Station Space Launch Complex 17
