Subject,Object
'The Long Black Death': New Perspectives,2019-07-05
10th Landtag of Bavaria,1982-10-20
11th Landtag of Bavaria,1986-10-22
12th century,1101-01-01
12th Landtag of Bavaria,1990-10-24
13th Landtag of Bavaria,1994-09-25
14th Landtag of Bavaria,1998-09-28
1897 European Rowing Championships,1897-09-08
1898 World Allround Speed Skating Championships for men,1898-02-06
1900 World Allround Speed Skating Championships for men,1900-02-24
1914 World Allround Speed Skating Championships for men,1914-02-14
1927 World All-Round Speed Skating Championships for men,1927-02-04
1939 World All-Round Speed Skating Championships for Men,1939-02-18
1947 World All-Round Speed Skating Championships for Men,1947-02-15
1953 European Rowing Championships,1953-08-13
1957 World All-Round Speed Skating Championships for Men,1957-02-16
1961 World All-Round Speed Skating Championships for Men,1961-02-18
1962 European Athletics Championships,1962-09-12
1962 Malaysia Open Badminton Championships,1962-09-07
1963 Uber Cup,1962-09-29
1966 Uber Cup,1965-06-19
1967 World All-Round Speed Skating Championships for Men,1967-02-11
1968 European Indoor Games,1968-03-09
1968 World All-Round Speed Skating Championships for Men,1968-02-24
1969 European Indoor Games,1969-03-08
1969 Tirreno–Adriatico,1969-03-11
1971 World All-Round Speed Skating Championships for Men,1971-02-13
1972 Tirreno–Adriatico,1972-03-13
1975 World All-Round Speed Skating Championships for Men,1975-02-08
1978 Uber Cup,1977-10-23
1979 Formula One season,1979-01-21
1981 Tirreno–Adriatico,1981-03-14
1981 Uber Cup,1980-10-28
1986 Danmark Rundt,1986-08-04
1987 Dow Chemical Classic,1987-06-08
1988 Spanish Open,1988-04-25
1989 Spanish Open,1989-04-25
1992 Internationaux de Strasbourg,1992-05-18
1992 Volta ao Alentejo,1992-04-12
1993 Internationaux de Strasbourg,1993-05-17
1993 Volta ao Alentejo,1993-04-04
1994 Volta ao Alentejo,1994-06-01
1994 Winter Olympics,1994-02-12
1995 UCI Road World Championships,1995-10-04
1995 Volta ao Alentejo,1995-05-01
1996 Volta ao Alentejo,1996-04-28
1996 WTA German Open,1996-05-13
1997 Volta ao Alentejo,1997-04-23
1998 Direct Line International Championships,1998-06-13
1998 Páginas Amarillas Open,1998-05-16
1998 Volta ao Alentejo,1998-04-29
1999 Direct Line International Championships,1999-06-12
1999 Direct Line International Championships,1999-06-15
1999 Volta ao Alentejo,1999-04-28
1st German Bundestag,1949-09-07
2000 African Badminton Championships,2000-07-25
2000 DFS Classic,2000-06-10
2000 Direct Line International Championships,2000-06-17
2000 Energis Dutch Open,2000-07-17
2000 Volta ao Alentejo,2000-04-25
2001 Britannic Asset Management International Championships,2001-06-18
2001 Copa Colsanitas,2001-02-17
2001 Energis Open,2001-07-16
2001 Pilot Pen Tennis,2001-08-17
2001 Volta ao Alentejo,2001-07-04
2002 Energis Open,2002-07-15
2003 Copa Colsanitas,2003-02-23
2003 Madrid Trofeo Union Fenosa,2003-05-17
2003 MasterCard German Open,2003-05-03
2003 Pilot Pen Tennis,2003-08-15
2003 Priority Telecom Open,2003-07-14
2004 Copa Colsanitas,2004-02-21
2004 Danmark Rundt,2004-08-04
2004 Ladies German Open,2004-05-01
2004 Pilot Pen Tennis,2004-08-20
2005 Dutch Open,2005-07-18
2006 Dutch Open,2006-07-17
2006 Tirreno–Adriatico,2006-03-08
2006 UCI Road World Championships,2006-09-19
2006–07 Celtic League,2006-09-01
2007 Danmark Rundt,2007-08-01
2007 Pilot Pen Tennis,2007-08-17
2007 Tirreno–Adriatico,2007-03-14
2007–08 Celtic League,2007-08-31
2008 Copa Colsanitas,2008-02-18
2008 Danmark Rundt,2008-07-30
2008 French Road Cycling Cup,2008-02-24
2008 Pilot Pen Tennis,2008-08-15
2008 Vuelta a la Independencia Nacional,2008-02-22
2008–09 Celtic League,2008-08-31
2009 African Badminton Championships,2009-04-17
2009 Copa Sony Ericsson Colsanitas,2009-02-16
2009 Legg Mason Tennis Classic,2009-08-01
2009–10 Celtic League,2009-09-04
2010 European Athletics Championships,2010-07-27
2010–11 Celtic League,2010-09-03
2011 African Badminton Championships,2011-05-04
2011 UCI Road World Championships,2011-09-19
2011 Vuelta a la Independencia Nacional,2011-02-20
2012 Copa Sony Ericsson Colsanitas,2012-02-13
2012 New Haven Open at Yale,2012-08-19
2012 Toray Pan Pacific Open,2012-09-23
2012 UCI Road World Championships,2012-09-16
2013 Copa Colsanitas,2013-02-18
2013 Danmark Rundt,2013-07-31
2013 Eneco Tour,2013-08-12
2013 New Haven Open at Yale,2013-08-16
2014 Big One for One Drop,2014-06-29
2014 Connecticut Open,2014-08-16
2014 Danmark Rundt,2014-08-06
2014 Malaysia Super Series Premier,2014-01-14
2014–15 Pro12,2014-09-05
2015 ATP Challenger 2001 Team Padova,2015-06-29
2015 Connecticut Open,2015-08-22
2015 Gimcheon Open ATP Challenger,2015-06-01
2015 Heilbronner Neckarcup,2015-05-11
2015 Malaysia Super Series Premier,2015-03-31
2015 MercedesCup,2015-06-08
2015 Nielsen Pro Tennis Championships,2015-07-06
2015 OEC Kaohsiung,2015-09-21
2015 Presidential Tour of Turkey,2015-04-26
2015–16 Cypriot First Division,2015-08-22
2015–16 Pro12,2015-09-04
2016 Connecticut Open,2016-08-19
2016 Malaysia Super Series Premier,2016-04-05
2016 MercedesCup,2016-06-06
2016 Presidential Tour of Turkey,2016-04-24
2016 Toray Pan Pacific Open,2016-09-19
2016 Tour de France,2016-07-02
2016 Volta a Catalunya,2016-03-21
2016 Volta a Portugal,2016-07-27
2016 Vuelta a la Independencia Nacional,2016-02-27
2016–17 Pro12,2016-09-02
2017 Canadian Grand Prix,2017-06-09
2017 Connecticut Open,2017-08-20
2017 European Athletics Indoor Championships,2017-03-03
2017 French Road Cycling Cup,2017-01-19
2017 High Roller for One Drop,2017-06-02
2017 Presidential Tour of Turkey,2017-10-10
2017 Super High Roller Bowl,2017-05-28
2017 Tirreno–Adriatico,2017-03-08
2017 Toray Pan Pacific Open,2017-09-18
2017 Tour Down Under,2017-01-17
2017 Tour of the Basque Country,2017-04-03
2017 Volta a Catalunya,2017-03-20
2017 Vuelta a España,2017-08-19
2018 Connecticut Open,2018-08-19
2018 European Junior Badminton Championships,2018-09-07
2018 European Rowing Championships,2018-08-02
2018 Presidential Tour of Turkey,2018-10-09
2018 Settimana Internazionale di Coppi e Bartali,2018-03-22
2018 Tour Down Under,2018-01-16
2018 Tour of the Basque Country,2018-04-02
2018 Volta a Catalunya,2018-03-19
2018 Vuelta a Andalucía,2018-02-14
2018 Vuelta a España,2018-08-25
2018 Vuelta a la Independencia Nacional,2018-02-22
2018 Winter Olympics,2018-02-09
2019 IEEE International Conference on Big Data,2019-12-09
2019 Presidential Tour of Turkey,2019-04-16
2019 Settimana Internazionale di Coppi e Bartali,2019-03-27
2019 Six Nations Championship,2019-02-01
2019 Tour de Langkawi,2019-04-06
2019 Tour of the Basque Country,2019-04-08
23rd Chess Olympiad,1978-10-25
24th Chess Olympiad,1980-11-20
25th ACM SIGKDD Conference on Knowledge Discovery and Data Mining,2019-08-04
29th Chess Olympiad,1990-11-16
2nd German Bundestag,1953-10-06
3rd German Bundestag,1957-10-15
