Subject,Object
1982 Lliga Catalana de Bàsquet,Josep Maria Margall
1984 Nehru Cup,Ricardo Gareca
1994 FIBA Europe Under-20 Championship,Boris Gorenc
2009 Thai Super Cup,Hironori Saruta
2013 AFC Futsal Club Championship,Kaoru Morioka
2014 Caribbean Cup,Darren Mattocks
2014 EMF miniEURO,Joe Andrew
2014–15 LPB season,Nuno Marçal
2015 POMIS Cup,Dramane Traoré
2015–16 Cypriot First Division,andre alves
2015–16 Cypriot First Division,cowvenaghi
2015–16 Cypriot First Division,dimitar ivanov makriev
2015–16 Cypriot First Division,Dimitar Makriev
2015–16 LNB Pro A season,Michael Thompson
2016 CONCACAF Futsal Championship,Frederico Moojen
2016-17 Ekstraklasa,Marco Paixão
2018-19 Ekstraklasa,Igor Angulo
Inter Milan,giuseppe meazza
Inter Milan,javier adelmar zanetti
Primera División de Futsal,inter fs
