Subject,Object
101 Piscium,175.0
101 Piscium,239.0
18 Ursae Majoris,159.0
26 Canis Majoris,64.0
26 Canis Majoris,95.0
39 Comae Berenices,26.0
39 Draconis,170.0
39 Draconis,175.0
39 Draconis,180.0
39 Draconis,186.0
4 Ceti,81.0
59 Orionis,82.0
[MLF2014] 105432,1.0
[MLF2014] 121380,51.8
[MLF2014] 6365,9.0
Alcyone,149.0
Alnilam,42.0
Alpha Caeli,47.8
Alpha Librae,5.95
BD+67 1030,2.35
BD-00 2299,2.86
BD-04 3421,2.72
BD-16 248,2.63
CD-46 5148,5.8
CD-56 1450,12.0
Cl* NGC 5139 BPB 81157,69.0
CPD-57 1131,27.7
Delta Equulei,10.0
Delta Equulei,13.0
Delta Equulei,16.87
Delta Tauri3,11.0
Epsilon Coronae Australis,132.0
Epsilon Coronae Australis,148.5
Gamma Doradus,59.5
Gamma Doradus,62.0
Gliese 208,3.8
Gliese 208,6.3
Gliese 269,16.3
HAT-P-7,0.1
HAT-P-7,5.0
HAT-P-7,5.2
HAT-P-7,5.911
HAT-P-7,9.77
HD 103483,75.0
HD 125040,38.0
HD 165590,16.0
HD 186465,243.0
HD 192639,101.0
HD 193281,95.0
HD 194279,48.0
HD 195592,52.0
HD 204411,23.0
HD 214129,31.2
HD 23089,0.0
HD 23089,13.0
HD 23089,18.0
HD 26015,25.0
HD 27894,1.994
HD 27894,2.095
HD 285497,2.92
HD 352059,2.5
HD 36959,11.0
HD 58661,30.0
HD 60335,18.0
HD 96248,70.0
Kapteyn's Star,-4.2
Kapteyn's Star,1.58
Kapteyn's Star,2.0
Kapteyn's Star,3.01
Kapteyn's Star,6.1
Kapteyn's Star,9.15
KIC 4937056,7.27
KIC 5024043,5.5
KIC 5111949,6.9
KIC 5200152,8.3
KIC 7900418,126.0
Mintaka,121.0
Omega Aurigae,107.0
QV Andromedae,49.0
QW Puppis,51.0
Rigel,37.0
Saiph,43.0
Sigma Draconis,0.1
Sigma Draconis,1.0
Sigma Draconis,1.4
Sigma Draconis,17.0
Sigma Draconis,3.2
Sigma Draconis,5.61
Sigma Draconis,6.79
Sigma Draconis,8.0
Sigma Draconis,9.6
TYC 1601-1491-1,2.36
TYC 1609-1518-1,2.67
TYC 3002-501-1,2.44
TYC 4479-446-1,2.46
TYC 4687-2279-1,2.89
TYC 5127-2055-1,2.67
UW Canis Majoris,136.0
V* EU Dra,8.5
V* GR Dra,7.0
V* V856 Ori,11.593
V897 Her,34.1
Vega,15.0
Vega,17.0
Vega,20.5
Vega,24.0
Vega,25.0
Vega,5.0
Zeta Phoenicis,93.0
