Subject,Object
Aleksandr Yevgenyev,herzen state pedagogical university of russia
Anakin Skywalker,Obi-Wan Kenobi
Anna Konkina,emperor alexander i st. petersburg state transport university
Ardalion Ignatyev,"lesgaft national state university of physical education, sport and health"
Aya Sumika,juilliard
Bram Stoker,college of the holy and undivided trinity of queen elizabeth near dublin
David Ogden Stiers,juilliard
David Ogden Stiers,north eugene high school
David Ogden Stiers,oregon
David Ogden Stiers,urbana high school
Dimitri Poliakov,karazin kharkiv national university
Edgar Lungu,university of zambia
Fedir Bohatyrchuk,kyiv national university named after taras shevchenko
Georges Wolinski,carnot high school tunis
Henri Privat-Livemont,académie des beaux-arts de saint-josse-ten-noode
Judy Baar Topinka,north western university
L. L. Zamenhof,imperial university of warsaw
L. L. Zamenhof,medical faculty of moscow university
Lawrence Sher,teaneck high school
Lawrence Sher,wesleyan
Mario Abdo Benítez,post college
May Berenbaum,ag school
May Berenbaum,collegiate school
Maysoon Zayid,arizona normal school
Nik Ranieri,bci
Nik Ranieri,sheridan college
Nikolas Cruz,douglas high school
Palpatine,Darth Plagueis
Sam Witwer,juilliard
Sheila Hicks,collegiate school
