Subject,Object
Aarhus University,33.02
Aarhus University,33020
Cornell University,23620
Cornell University,24900
Faculdade Cásper Líbero,2229
IESEG School of Management,5850
KEDGE Business School,14800
KEDGE Business School,15150
Marjory Stoneman Douglas High School,3280
Paris 13 University,20549
Sacred Heart Major Seminary,418
Skema Business School,11000
Skema Business School,8500
Toulouse Business School,4100
University of Angers,22887
University of Bordeaux 1,10352
University of Bordeaux 1,9005
University of Bordeaux 1,9280
University of Bordeaux 1,9401
University of Bordeaux 1,9421
University of Bordeaux 1,9453
University of Bordeaux 1,9837
University of French Polynesia,2542
University of French Polynesia,2547
University of French Polynesia,2559
University of French Polynesia,2669
University of French Polynesia,2918
University of French Polynesia,2944
University of French Polynesia,2954
University of French Polynesia,2972
University of French Polynesia,2979
University of French Polynesia,3033
University of French Polynesia,3098
University of French Polynesia,3127
University of French Polynesia,3133
University of French Polynesia,3139
University of French Polynesia,3243
University of French Polynesia,3365
University of French Polynesia,3415
University of French Polynesia,3486
University of French Polynesia,3633
University of La Rochelle,8193
University of Missouri,32777
University of Montenegro,10600
University of Provence - Aix-Marseille I,22885
University of Santiago de Compostela,24095
University of Évry Val d'Essonne,12000
University Polytechnique Hauts-de-France,11361
Walter Cronkite School of Journalism and Mass Communication,1700
West Virginia University,26269
West Virginia University,26341
Western Illinois University,7490
Western Michigan University,15946
Western Michigan University,18266
Western Michigan University,19887
