Subject,Object
"1,3-butadiene",mutagen
"1,4-dichlorobenzene",carcinogen
Acacia gerrardii,basionym
aniline,carcinogen
astemizole,Anti-Allergic Agents
astemizole,H1 antagonist
Atriplex depressa,basionym
Atya wyckii,protonym
Barbus cumingii,protonym
Chenopodium aristatum,basionym
Colius indicus,protonym
DL-amphetamine,stimulant
droperidol,antipsychotic
droperidol,Dopamine antagonist
Dumeticola mandelli,protonym
Ecklonia bicyclis,basionym
ethyl acrylate,carcinogen
Fringilla arborea,protonym
Governor of Maryland,chief commander
Governor of Maryland,clemency
Governor of Texas,chief commander
Grallaria flavirostris,protonym
Hippolyte cranchii,protonym
Hippolyte gaimardii,protonym
ketamine,analgesic
Kyoko Kirigiri,non-person character
Lecanora straminea,basionym
Matuta miersii,protonym
Pagurus setifer,protonym
Polygonum careyi,basionym
Polygonum lapathifolium,basionym
Polygonum perfoliatum,basionym
Polymnia sonchifolia,basionym
President of the United States,chief commander
President of the United States,clemency
Sesarma lafondii,protonym
Vernonia cinerea,basionym
Yuno Gasai,non-person character
Zosterops auriventer,protonym
