Subject,Object
All-Athletics.com ID,All-Athletics.com
artist-info artist ID,artist-info
artist-info curator ID,artist-info
artist-info exhibition ID,artist-info
artist-info location ID,artist-info
Bibliothèque nationale de France ID,BnF authorities
CETS number,Council of Europe treaty
Cockroach Species File ID,Cockroach Species File
commemorative plaque image,commemorative plaque
CONOR ID,CONOR
Coreoidea Species File ID,Coreoidea Species File
creator's signature,signature
ctext work ID,Chinese Text Project
date depicted,depiction
detail map,geographic map
Deutsche Ultramarathon-Vereinigung ID,Deutsche Ultramarathon-Vereinigung
Dictionnaire critique des historiens de l'art ID,Dictionnaire critique des historiens de l'art actifs en France de la Révolution à la Première Guerre mondiale
distribution map,geographic map
DoME artist ID,Database of Modern Exhibitions (DoME)
ERIH PLUS ID,European Reference Index for the Humanities
FIDAL athlete ID,Italian Athletics Federation
French Athletics Federation athlete ID,Fédération française d'athlétisme
image of grave,tomb
Information Center for Israeli Art artist ID,Information Center for Israeli Art
ITRA runner ID,International Trail-Running Association
Library of Congress authority ID,Library of Congress Authorities
location of first performance,première
Mantodea Species File ID,Mantodea Species File
National Library of Israel ID,National Library of Israel
NCL ID,National Central Library
NKCR AUT ID,Czech National Authority Database
Power of 10 athlete ID,Power of 10
Research Papers in Economics Series handle,Research Papers in Economics
Rotten Tomatoes ID,Rotten Tomatoes
Sabinet journal ID,Sabinet
SFMOMA artist ID,San Francisco Museum of Modern Art
Sports-Reference.com college basketball coach ID,Sports-Reference.com
Sports-Reference.com college basketball player ID,Sports-Reference.com
UltraSignup runner ID,UltraSignup
Vatican Library ID,Vatican Library
