Subject,Object
1947 Danish Folketing election,Hans Hedtoft
1950 Danish Folketing election,Erik Eriksen
1951 United Kingdom general election,Winston Churchill
1953 Danish Folketing election,Erik Eriksen
1953 Danish general election,communist party of denmark
1953 Danish general election,conservative people's party
1953 Danish general election,danish social liberal party
1953 Danish general election,Hans Hedtoft
1953 Danish general election,independent
1953 Danish general election,javnaðarflokkurin
1953 Danish general election,justice party of denmark
1953 Danish general election,social democracy
1953 Danish general election,union party
1953 Danish general election,venstre
1960 Danish general election,Viggo Kampmann
1964 Danish general election,Jens Otto Krag
1964 United Kingdom general election,Harold Wilson
1966 Danish general election,Jens Otto Krag
1971 Danish general election,Jens Otto Krag
1979 United Kingdom general election,Margaret Thatcher
1988 Danish general election,Poul Schlüter
1994 Texas gubernatorial election,George W. Bush
1998 Illinois gubernatorial election,George Ryan
2001 Danish general election,Anders Fogh Rasmussen
2002 Texas gubernatorial election,"james richard ""rick"" perry"
2002 Texas gubernatorial election,Rick Perry
2005 Danish general election,Anders Fogh Rasmussen
2005 Danish general election,conservative people's party
2005 Danish general election,danish social liberal party
2005 Danish general election,javnaðarflokkurin
2005 Danish general election,people's party
2005 Danish general election,social democracy
2005 Danish general election,union party
2005 Danish general election,venstre
2006 Illinois gubernatorial election,blago
2006 Illinois gubernatorial election,Rod Blagojevich
2006 Okinawa gubernatorial election,Hirokazu Nakaima
2007 Danish general election,Anders Fogh Rasmussen
2009 Virginia gubernatorial election,Bob McDonnell
2010 United Kingdom general election,David Cameron
2012 United States House of Representatives elections in Hawaii,Colleen Hanabusa
2012 United States House of Representatives elections in Hawaii,tulsi gabbard
2014 United States House of Representatives election in Guam,Madeleine Bordallo
2014 United States House of Representatives election in South Dakota,beloved christy
2014 United States House of Representatives election in South Dakota,Kristi Noem
2014 United States House of Representatives election in the Northern Mariana Islands,Gregorio Sablan
2015 Danish general election,Bent Bøgsted
2015 Danish general election,Mette Frederiksen
2015 United Kingdom general election,David Cameron
2016 United States presidential election in Pennsylvania,@realdonaldtrump
Cologne I,Karsten Möring
constituency for the Bundestag election Mülheim – Essen I,Arno Klare
February 1974 United Kingdom general election,Harold Wilson
Krefeld II – Wesel II,Kerstin Radomski
Kreis Aachen,Claudia Moll
Municipal elections 2017 in Sastamala in Finland,Green League
Municipal elections 2017 in Sysmä in Finland,Finns Party
Municipal elections 2017 in Säkylä in Finland,Green League
Municipal elections 2017 in Taivalkoski in Finland,Left Alliance
Municipal elections 2017 in Taivassalo in Finland,National Coalition Party
Municipal elections 2017 in Tammela in Finland,Green League
Municipal elections 2017 in Tampere in Finland,Green League
Municipal elections 2017 in Tervo in Finland,National Coalition Party
Municipal elections 2017 in Tervola in Finland,Left Alliance
Municipal elections 2017 in Teuva in Finland,National Coalition Party
Municipal elections 2017 in Tohmajärvi in Finland,National Coalition Party
Municipal elections 2017 in Vaala in Finland,Left Alliance
Münster,Sybille Benning
Oberbergischer Kreis,Carsten Brodesser
Wisconsin gubernatorial recall election,Scott Walker
