Subject,Object
Albania,3.7
Albania,5.5
Albania,6.0
Albania,6.3
Albania,6.7
Albania,7.8
Argentina,8.1
Argentina,8.8
Argentina,9.0
Argentina,9.2
Argentina,9.5
Australia,11.3
Australia,12.3
Australia,12.5
Australia,13.2
Australia,13.8
Austria,15.6
Austria,16.0
Austria,17.3
Austria,24.9
Bangladesh,3.9
Bangladesh,5.9
Bangladesh,6.1
Bangladesh,6.3
Bangladesh,6.4
Bangladesh,6.7
Botswana,11.1
Botswana,11.8
Botswana,12.6
Botswana,9.3
Botswana,9.7
Cameroon,11.7
Cameroon,11.9
Cameroon,12.2
Cameroon,12.3
Cameroon,13.3
Central African Republic,7.7
Central African Republic,8.1
Central African Republic,8.8
Central African Republic,9.5
Chad,8.0
Chad,8.5
Chad,8.7
Chad,8.8
Chad,8.9
Chile,10.6
Czech Republic,13.1
Czech Republic,9.5
France,9.7
India,12.9
Israel,5.2
Italy,4.3
Ivory Coast,9.5
Japan,14.6
Netherlands,9.3
New Zealand,10.3
North Korea,10.0
North Korea,10.9
North Korea,11.2
North Korea,11.4
North Korea,11.9
Peru,2.7
Philippines,2.5
Poland,9.3
Romania,7.3
Slovakia,9.3
Sweden,12.4
Sweden,12.6
Thailand,8.0
Turkey,2.3
Turkey,3.61
Turkey,3.94
Turkey,4.01
Turkey,4.03
Turkey,4.11
Turkey,4.15
Turkey,4.21
Turkey,4.27
Turkey,4.37
Turkey,4.45
Turkey,4.76
Turkey,4.96
Turkey,4.98
United Kingdom,6.9
Vietnam,7.2
