Subject,Object
Ares,telepathy
Barry Allen,super-speed
Barry Allen,superhuman agility
Barry Allen,superhuman durability
Belthazor,psychokinesis
Count Vertigo,flight
Deathstroke,healing factor
Devilance,enhanced strength
Devilance,superhuman durability
Doctor Bedlam,enhanced strength
Doctor Bedlam,immortality in fiction
Doctor Bedlam,superhuman durability
Doctor Bedlam,telepathy
Glorious Godfrey,enhanced strength
Glorious Godfrey,immortality in fiction
Glorious Godfrey,mind control
Glorious Godfrey,super-speed
Glorious Godfrey,superhuman agility
Glorious Godfrey,superhuman durability
Granny Goodness,enhanced strength
Granny Goodness,immortality in fiction
Granny Goodness,super-speed
Granny Goodness,superhuman agility
Granny Goodness,superhuman durability
Hellboy,enhanced strength
Hellboy,healing factor
Hellboy,superhuman durability
Iron Man,enhanced strength
Kalibak,enhanced strength
Kalibak,immortality in fiction
Kalibak,super-speed
Kalibak,superhuman agility
Kalibak,superhuman durability
Lisa Simpson,enhanced strength
Lisa Simpson,superhuman durability
Madame Rouge,elasticity
Madame Rouge,shapeshifting
Metallo,enhanced strength
Metallo,super-speed
Metallo,superhuman durability
Mizore Shirayuki,cryokinesis
Moka Akashiya,flight
Moka Akashiya,healing factor
Morbius,enhanced strength
Morbius,super-speed
Morbius,superhuman agility
Raziel,intangibility
Spawn,healing factor
Superman,heat vision
Superman,superhuman endurance
Superman,superhuman senses
Suu,telepathy
Trigon,psychokinesis
Trigon,telepathy
Tsurara Shirayuki,cryokinesis
Virman Vundabar,enhanced strength
Virman Vundabar,immortality in fiction
Virman Vundabar,super-speed
Virman Vundabar,superhuman agility
Virman Vundabar,superhuman durability
Wallace West,intangibility
Wallace West,superhuman agility / reflexes
Wallace West,superhuman endurance
Wallace West,superhuman speed
Wally West,intangibility
Wally West,superhuman agility / reflexes
Wally West,superhuman endurance
Wally West,superhuman speed
Wonder Woman,flight
Wonder Woman,superhuman agility / reflexes
Zankou,psychokinesis
