Subject,Object
101 Piscium,807
101 Piscium,810
26 Canis Majoris,5980
26 Canis Majoris,6000
26 Canis Majoris,9000
28 Cancri,2750
2MASS J05353270-0630181,9440
2MASS J13264031-4726599,2
2MASS J19002573+4537087,380
2MASS J19141637+4232025,660
2MASS J19264357+4807193,660
2MASS J19283666+4056278,390
2MASS J19371884+4346391,420
2MASS J19395696+4334456,340
2MASS J19453187+4724345,794
2MASS J19503280+4010153,870
39 Ceti,1120
6 Draconis,160
87 Sylvia,0.0729
[RHS2000] 1-1106,11640
Alpha Caeli,10200
Alpha² Canum Venaticorum,6000
Bibhā,14500
CL Cam,830
Cl* NGC 5139 L 1019,8
Cl* NGC 5139 L 1076,2
Cl* NGC 5139 L 1078,22
Cl* NGC 5139 L 1352,4
Cl* NGC 5139 L 1754,25
Cl* NGC 5139 L 683,4
Cl* NGC 5139 L 823,11
Cl* NGC 5139 LEID 23042,28
Cl* NGC 5139 LEID 35035,36
Cl* NGC 5139 LEID 36228,3
Cl* NGC 5139 LEID 42508,22
Cl* NGC 5139 LEID 44026,11
Cl* NGC 5139 LEID 89009,18
Cocibolca,27900
Delta Equulei,11200
DY Leo,14000
Epsilon Coronae Australis,3160
ESO-HA 1293,10960
ESO-HA 1497,14420
Felixvarela,15500
Formosa,245
Gamma Capricorni,2800
Gamma Doradus,9300
Gamma Leporis,21000
Gliese 208,45000
Gliese 208,52000
Gumala,30500
HAT-P-7,10500
HAT-P-7,10540
HAT-P-7,11200
HAT-P-7,11500
HAT-P-7,12300
HAT-P-7,13183
HAT-P-7,13600
HAT-P-7,14500
HAT-P-7,21000
HAT-P-7,5200
HAT-P-7,6900
HAT-P-7,8000
HAT-P-7,8106
HAT-P-7,8300
HAT-P-7,8750
HD 104985,280
HD 125040,18000
HD 125040,19000
HD 23089,760
HD 27894,10500
HD 27894,16600
HD 27894,20000
HD 27894,21230
HD 27894,24500
HD 27894,31200
HD 27894,34000
HD 27894,35000
HD 27894,36310
HD 89744,8700
Kapteyn's Star,101600
Kapteyn's Star,21000
Kapteyn's Star,51000
Kapteyn's Star,65000
Kapteyn's Star,74000
Kapteyn's Star,80000
Kapteyn's Star,91000
Kepler-10,18920
Kepler-20,29440
Koeia,45000
KOI-2443,20460
KOI-2498,30200
KOI-2585,24200
KOI-2711,30500
Moon,1.62
Nenque,18600
Nervia,25000
Nushagak,14790
Poerava,23660
QW Puppis,13500
QW Puppis,13800
QW Puppis,6000
Rho Geminorum,11500
Sigma Draconis,16000
Sigma Draconis,17800
Sigma Draconis,22000
Sigma Draconis,23000
Sigma Draconis,23400
Sigma Draconis,24000
Sigma Draconis,24500
Sigma Draconis,25000
Sigma Draconis,26300
Sigma Draconis,27000
Sigma Draconis,27500
Sigma Draconis,28000
Sigma Draconis,29850
Sigma Draconis,31600
Sigma Draconis,32000
Sigma Draconis,34000
Sigma Draconis,35000
Sigma Draconis,35470
Sigma Draconis,35500
Sigma Draconis,36000
Sigma Draconis,37000
Sigma Draconis,37100
Sigma Draconis,38000
Sigma Draconis,39000
Sigma Draconis,40000
Sigma Draconis,41000
Sigma Draconis,45000
Sigma Draconis,47000
Tapecue,30340
UW Canis Majoris,1900
UW Canis Majoris,2450
UW Canis Majoris,2600
V* LX Ori,7670
V* V1076 Ori,12760
V* V2341 Ori,8400
V* V2657 Ori,5980
V* V832 Ori,14800
V* V991 Ori,14930
Vega,10000
Vega,10700
Vega,11200
Vega,12600
Vega,13000
Vega,3000
Vega,3160
Vega,5000
Vega,6000
Vega,6300
Vega,7600
Vega,8000
Vega,8700
