Subject,Object
1976 American Airlines Tennis Games,hard court
1987 Dow Chemical Classic,grass court
1988 Spanish Open,clay court
1989 Spanish Open,clay court
1992 Internationaux de Strasbourg,clay court
1993 Internationaux de Strasbourg,clay court
1998 Páginas Amarillas Open,clay court
1998 Páginas Amarillas Open – Singles,clay court
1999 Direct Line International Championships,grass court
2000 DFS Classic,grass court
2000 Direct Line International Championships,grass court
2000 Energis Dutch Open,clay court
2001 Energis Open,clay court
2002 Energis Open,clay court
2003 Priority Telecom Open,clay court
2009 Copa Sony Ericsson Colsanitas,clay court
2012 Copa Sony Ericsson Colsanitas,clay court
2012 Toray Pan Pacific Open,hard court
2016 MercedesCup,grass court
2016 Toray Pan Pacific Open,hard court
2017 Toray Pan Pacific Open,hard court
Docklands Stadium,lawn
Eastbourne International,grass court
Kauffman Stadium,lawn
Twickenham Stoop,lawn
White City Stadium,lawn
