Subject,Object
Acacia gerrardii,Red thorn
Atriplex depressa,brittlescale
Bluefish,Ancho
Bluefish,Anchoa de Banco
Bluefish,Anchova de Banco
Bluefish,Anjova
Bluefish,Blue Fish
Bluefish,Bluefish
Bluefish,Choppers
Bluefish,Coupe-fil
Bluefish,Elf
Bluefish,Fatback
Bluefish,Greenfish
Bluefish,Horse Mackerel
Bluefish,Horsemackerel
Bluefish,Jumbos
Bluefish,Marine Piranha
Bluefish,Pez Azul
Bluefish,Razorbacks
Bluefish,Salmon Bluefish
Bluefish,Shad
Bluefish,Skip Mackerel
Bluefish,Skipjack
Bluefish,Skipmackerel
Bluefish,Snap Mackerel
Bluefish,Snapping Mackerel
Bluefish,Tailor
Bluefish,Tailor Run
Bluefish,Tassergal
Bluefish,扁鰺
Bluefish,鯥
Chenopodium aristatum,wormseed
European bitterling,bitterling
European bitterling,bittervoorn
European bitterling,hořavka duhová
European bitterling,pezdirk
Fagus sylvatica,Almindelig Bøg
Fagus sylvatica,Avrupa kayını
Fagus sylvatica,Beuk
Fagus sylvatica,Bok
Fagus sylvatica,buk lesní
Fagus sylvatica,Buk lesný
Fagus sylvatica,Buk zwyczajny
Fagus sylvatica,bukev
Fagus sylvatica,Bukva
Fagus sylvatica,Bók
Fagus sylvatica,Bøk
Fagus sylvatica,Bùk
Fagus sylvatica,Cerwjeny buk
Fagus sylvatica,Eiropas dižskābardis
Fagus sylvatica,Euroopanpyökki
Fagus sylvatica,European Beech
Fagus sylvatica,"european beech, common beech"
Fagus sylvatica,Európai bükk
Fagus sylvatica,Eŭropa fago
Fagus sylvatica,Fabo
Fagus sylvatica,Fag
Fagus sylvatica,Fagaro
Fagus sylvatica,Faggio
Fagus sylvatica,Faia
Fagus sylvatica,Faia-europeia
Fagus sylvatica,Faig
Fagus sylvatica,Faiu
Fagus sylvatica,Faou
Fagus sylvatica,Fau
Fagus sylvatica,Fau europèu
Fagus sylvatica,faya
Fagus sylvatica,Feá
Fagus sylvatica,Gewöhnliche Buche
Fagus sylvatica,hêtre
Fagus sylvatica,Hêtre commun
Fagus sylvatica,Iwrupa haya
Fagus sylvatica,lehtopyökki
Fagus sylvatica,Lěsny buk
Fagus sylvatica,Meşə fıstığı
Fagus sylvatica,Pago arrunt
Fagus sylvatica,Paprastasis bukas
Fagus sylvatica,Rotbuche
Fagus sylvatica,Routbuch
Fagus sylvatica,Δασική οξιά
Fagus sylvatica,Бук европейский
Fagus sylvatica,Бук лясны
Fagus sylvatica,Бук лісовий
Fagus sylvatica,Буква / Bukva
Fagus sylvatica,Обикновен бук
Fagus sylvatica,обична бука
Fagus sylvatica,زان أوروبي
Fagus sylvatica,ヨーロッパブナ
Fagus sylvatica,欧洲山毛榉
Fagus sylvatica,欧洲水青冈
Homo sapiens,Amegbetɔ
Homo sapiens,Binadamu
Homo sapiens,człowiek rozumny
Homo sapiens,Den
Homo sapiens,Diné
Homo sapiens,Ember
Homo sapiens,essere Umano/Uomo
Homo sapiens,Gizaki
Homo sapiens,Hodajući čovjek
Homo sapiens,Homme
Homo sapiens,Homme anatomiquement moderne
Homo sapiens,Homme moderne
Homo sapiens,Humain
Homo sapiens,Human
Homo sapiens,Humano
Homo sapiens,humanu
Homo sapiens,Humà
Homo sapiens,ihminen
Homo sapiens,Inimene
Homo sapiens,İnsan
Homo sapiens,Manusia
Homo sapiens,Maður
Homo sapiens,Menneske
Homo sapiens,Menniskja
Homo sapiens,Mens
Homo sapiens,Mensch
Homo sapiens,Minsk
Homo sapiens,Minske
Homo sapiens,Miro/مرۆڤ، ئاده‌میزاد
Homo sapiens,Mirov
Homo sapiens,Människa
Homo sapiens,Nipa
Homo sapiens,Om
Homo sapiens,Runa
Homo sapiens,Sapratīgais cilvēks
Homo sapiens,Tao
Homo sapiens,Tlācatl
Homo sapiens,umni človek
Homo sapiens,Yvypóra
Homo sapiens,Être humain
Homo sapiens,Človek
Homo sapiens,člověk
Homo sapiens,Čovjek
Homo sapiens,Άνθρωπος
Homo sapiens,Людина pозумна
Homo sapiens,чалавек
Homo sapiens,Человек разумный
Homo sapiens,Човек
Homo sapiens,Човек (Čovek)
Homo sapiens,בֶּן־אָדָם
Homo sapiens,הָאָדָם הַנָּבוֹן
Homo sapiens,إنسان
Homo sapiens,انسان
Homo sapiens,मनुष्य
Homo sapiens,मानव
Homo sapiens,मान्छे
Homo sapiens,মানুষ
Homo sapiens,মানুহ
Homo sapiens,மனிதன்
Homo sapiens,మనిషి
Homo sapiens,ಮಾನವ
Homo sapiens,മനുഷ്യന്‍
Homo sapiens,මිනිසා
Homo sapiens,มนุษย์
Homo sapiens,ᏴᏫ
Homo sapiens,人間
Homo sapiens,智人
Homo sapiens,사람(종)
Iris versicolor,blue flag
Iris versicolor,harlequin blueflag
Iris versicolor,purple iris
Iris versicolor,water flag
Iris versicolor,变色鸢尾
Lecanora straminea,rim lichen
Polygonum careyi,Carey's smartweed
Polygonum lapathifolium,curlytop knotweed
Polygonum perfoliatum,Asiatic tearthumb
Polymnia sonchifolia,yacon
Sequoia sempervirens,Amerikansk sekvoja
Sequoia sempervirens,California Redwood
Sequoia sempervirens,Coast Redwood
Sequoia sempervirens,cochwydden Califfornia
Sequoia sempervirens,Kustmammoetboom
Sequoia sempervirens,kustsequoia
Sequoia sempervirens,Kystenmaamutbaam
Sequoia sempervirens,Kystsequoia
Sequoia sempervirens,Küstenmammutbaum
Sequoia sempervirens,Kıyı sekoyası
Sequoia sempervirens,Obalna sekvoja
Sequoia sempervirens,Punapuu
Sequoia sempervirens,Přimórski žerowc
Sequoia sempervirens,Pśimórski mamutowy bom
Sequoia sempervirens,Ranniksekvoia
Sequoia sempervirens,Redwood
Sequoia sempervirens,Rødtræ
Sequoia sempervirens,Secuoya
Sequoia sempervirens,sekvoj vždyzelená
Sequoia sempervirens,Sekwoja wieczniezielona
Sequoia sempervirens,Sequoia sempreverde
Sequoia sempervirens,Sequoia vermelha
Sequoia sempervirens,Strandrauðviður
Sequoia sempervirens,Séquoia à feuilles d'if
Sequoia sempervirens,Visžalė sekvoja
Sequoia sempervirens,Örökzöld mamutfenyő
Sequoia sempervirens,Σεκόια η αειθαλής
Sequoia sempervirens,Гигантска секвоя
Sequoia sempervirens,Секвоја
Sequoia sempervirens,סקוויה נאה
Sequoia sempervirens,セコイア
Sequoia sempervirens,加州紅木
Sequoia sempervirens,北美红杉
Sequoia sempervirens,红杉
Sequoia sempervirens,長葉世界爺
Sequoia sempervirens,长叶世界爷
Swallow,lastovke
Swallow,svalefamilien
Vernonia cinerea,little ironweed
