Subject,Object
Acacia gerrardii,species
Atriplex depressa,species
Atya wyckii,species
Barbus cumingii,species
Bluefish,species
Chenopodium aristatum,species
Colius indicus,species
Dumeticola mandelli,species
Ecklonia bicyclis,species
European bitterling,species
Fagus sylvatica,species
Fringilla arborea,species
Grallaria flavirostris,species
Hippolyte cranchii,species
Hippolyte gaimardii,species
Homo sapiens,species
Iris versicolor,species
Lecanora straminea,species
Matuta miersii,species
Pagurus setifer,species
Polygonum careyi,species
Polygonum lapathifolium,species
Polygonum perfoliatum,species
Polymnia sonchifolia,species
Sequoia sempervirens,species
Sesarma lafondii,species
Vernonia cinerea,species
Zosterops auriventer,species
