Subject,Object
2009 Volta ao Algarve,Columbia-HTC 2009
2010 Volta ao Algarve,RadioShack 2010
2015 Tour of Belgium,BMC Racing 2015
2016 Tour of Belgium,2016 Etixx-Quick Step
2016 Volta a Portugal,2016 caja rural-seguros rga
2016 Volta a Portugal,2016 roth
2016 Volta a Portugal,and 2016
2017 Paris–Nice,Bahrain-Merida 2017
2017 Tour de l'Ain,Wanty-Groupe Gobert 2017
2017 Tour of Belgium,2017 Quick-Step Floors
2017 Tour of the Basque Country,2017 movistar
2017 Tour of the Basque Country,2017 quick-step floors
2017 Tour of the Basque Country,2017 uae team emirates
2017 Tour of the Basque Country,lotto nl-jumbo 2017
2017 Tour of the Basque Country,orica-scott 2017
2017 Tour of the Basque Country,sky 2017
2017 Tour of the Basque Country,sun 2017
2017 Volta a Catalunya,2017 astana
2017 Volta a Catalunya,2017 bmc racing
2017 Volta a Catalunya,2017 cannondale-drapac
2017 Volta a Catalunya,2017 quick-step floors
2017 Volta a Catalunya,2017 trek-segafredo
2017 Volta a Catalunya,2017 wanty-groupe gobert
2017 Volta a Catalunya,ag2r la mondiale 2017
2017 Volta a Catalunya,lotto nl-jumbo 2017
2017 Volta a Catalunya,orica-scott 2017
2017 Vuelta a España,2017 bmc racing
2017 Vuelta a España,2017 caja rural-seguros rga
2017 Vuelta a España,2017 movistar
2017 Vuelta a España,2017 quick-step floors
2017 Vuelta a España,2017 uae team emirates
2017 Vuelta a España,bahrain-merida 2017
2017 Vuelta a España,lotto nl-jumbo 2017
2017 Vuelta a España,orica-scott 2017
2017 Vuelta a España,sky 2017
2017 Vuelta a la Comunidad de Madrid,Manzana Postobón 2017
2017 Vuelta a la Comunidad de Madrid,Movistar 2017
2018 Four Days of Dunkirk,Aqua Blue Sport 2018
2018 Paris-Nice,Sky 2018
2018 Presidential Tour of Turkey,2018 burgos bh
2018 Presidential Tour of Turkey,2018 caja rural-seguros rga
2018 Presidential Tour of Turkey,2018 katusha-alpecin
2018 Presidential Tour of Turkey,2018 sport vlaanderen-baloise
2018 Presidential Tour of Turkey,2018 team sunweb (men's team) season
2018 Presidential Tour of Turkey,2018 trek-segafredo
2018 Presidential Tour of Turkey,wb-aqua protect-veranclassic 2018
2018 Settimana Internazionale di Coppi e Bartali,Androni Giocattoli-Sidermec 2018
2018 Settimana Internazionale di Coppi e Bartali,Aqua Blue Sport 2018
2018 Tour de Langkawi,Bennelong-SwissWellness-Cervélo
2018 Tour Down Under,2018 ag2r la mondiale
2018 Tour Down Under,2018 bmc racing
2018 Tour Down Under,2018 dimension data season
2018 Tour Down Under,2018 ef education first-drapac
2018 Tour Down Under,2018 quick-step floors
2018 Tour Down Under,2018 team lottonl–jumbo season
2018 Tour Down Under,2018 team sunweb (men's team) season
2018 Tour Down Under,2018 trek-segafredo
2018 Tour Down Under,2018 uae emirates
2018 Tour of Belgium,Katusha-Alpecin 2018
2018 Tour of Norway,Roompot-Nederlandse Loterij 2018
2018 Tour of Norway,Sport Vlaanderen-Baloise 2018
2018 Tour of the Basque Country,2018 ag2r la mondiale
2018 Tour of the Basque Country,2018 astana
2018 Tour of the Basque Country,2018 bora-hansgrohe
2018 Tour of the Basque Country,2018 cofidis
2018 Tour of the Basque Country,2018 katusha-alpecin
2018 Tour of the Basque Country,2018 lotto-soudal
2018 Tour of the Basque Country,2018 quick-step floors
2018 Tour of the Basque Country,2018 team bahrain–merida season
2018 Tour of the Basque Country,sky 2018
2018 Volta a Catalunya,2018 ag2r la mondiale
2018 Volta a Catalunya,2018 astana
2018 Volta a Catalunya,2018 ef education first-drapac
2018 Volta a Catalunya,2018 fdj
2018 Volta a Catalunya,2018 fortuneo-samsic
2018 Volta a Catalunya,2018 mitchelton–scott (men's team) season
2018 Volta a Catalunya,2018 quick-step floors
2018 Volta a Catalunya,2018 team lottonl–jumbo season
2018 Vuelta a España,2018 ag2r la mondiale
2018 Vuelta a España,2018 astana
2018 Vuelta a España,2018 bora-hansgrohe
2018 Vuelta a España,2018 dimension data season
2018 Vuelta a España,2018 ef education first-drapac
2018 Vuelta a España,2018 mitchelton–scott (men's team) season
2018 Vuelta a España,2018 team bahrain–merida season
2018 Vuelta a España,eus 2018
2018 Vuelta a España,sky 2018
2018 Vuelta a la Comunidad de Madrid,Manzana Postobón 2018
2019 Settimana Internazionale di Coppi e Bartali,Androni Giocattoli-Sidermec 2019
2019 Settimana Internazionale di Coppi e Bartali,Neri Sottoli-Selle Italia-KTM 2019
2019 Tour de Langkawi,2019 bardiani csf
2019 Tour de Langkawi,2019 pro racing sunshine coast team
2019 Tour de Langkawi,2019 protouch
2019 Tour de Langkawi,2019 sapura
2019 Tour de Langkawi,2019 st george continental
2019 Tour de Langkawi,2019 team ukyo
2019 Tour de Langkawi,2019 terengganu inc-tsg cycling team
2019 Tour de Langkawi,2019 vino-astana motors
2019 Tour de Langkawi,gazprom-rusvelo 2019
2019 Tour of Norway,2019 Deceuninck-Quick Step
2019 Tour of Norway,Sunweb 2019
Paris-Nice 2019,AG2R La Mondiale 2019
