Subject,Object
Atlanta,atlanta urban area
Auf dem Bockshorn,Bockshorn
Bagno mit Steinfurter Aa,Am Bagno – Buchenberg
Baumberge,Baumberge
Bergwerk Thülen,Fledermausstollen am Thülener Stein
Bergwiesen Lippe mit Buchheller- und Mischebachtal,Unteres Buchhellertal
Berkel,Berkelaue
Bielenberg mit Stollen,Bielenberg
Boston,boston urban area
Bueng Ba,Bueng Ba
Cerdanya,autonomous community of catalonia
Cerdanya,eastern pyrenees
Klautzke-See und Waldmoore mit Kobbelke,Klautzkesee und Waldmoore mit Kobbelke
"Lusebredde, Hellinghäuser Wiesen und Klostermersch",Lippeaue
Sieg,Silikatfelsen an der Sieg
Wummsee und Twernsee,Wumm-See und Twern-See
