Subject,Object
87 Sylvia,1866-05-16
Antarctica,1820-01-28
berkelium,1949-01-01
Callirrhoe,1999-10-06
Centaurus A,1826-04-29
Chaldene,2000-11-26
Circinus Galaxy,1975-01-01
CTA-102,1960-01-01
curium,1944-01-01
Delaware River,1609-01-01
Dia,2000-12-05
Epsilon Eridani b,2000-08-07
Epsilon Eridani b,2000-12-01
Erinome,2000-11-23
Euporie,2001-12-11
Gliese 436 b,2004-12-01
Greenland,0875-01-01
HD 109749 b,2005-01-01
HD 109749 b,2006-02-01
HD 149026 b,2005-07-01
HD 149026 b,2005-11-01
Hegemone,2003-02-08
Himalia,1904-12-03
Huchra's lens,1985-01-01
Isonoe,2000-11-23
Kallichore,2003-02-06
Kapteyn's Star,1897-01-01
KV42,1899-01-01
KV47,1905-01-01
Lisitsin Gambit,1931-01-01
Lysithea,1938-07-06
Messier 32,1749-10-29
Messier 82,1774-12-31
Mneme,2003-02-09
NGC 1140,1785-11-22
NGC 123,1880-09-27
NGC 129,1788-12-16
NGC 1316,1826-09-02
NGC 160,1785-12-05
NGC 1875,1863-11-18
NGC 2180,1784-01-24
NGC 2186,1786-01-27
NGC 2204,1785-02-06
NGC 2232,1784-10-16
NGC 2266,1785-12-07
NGC 2276,1876-06-26
NGC 2293,1835-01-20
NGC 2349,1783-01-01
NGC 2420,1783-11-19
NGC 2547,1751-01-01
NGC 2633,1882-01-01
NGC 281,1881-11-16
NGC 3110,1785-03-05
NGC 3242,1785-02-07
NGC 3256,1836-03-15
NGC 3263,1835-02-03
NGC 3446,1836-03-15
NGC 3857,1884-03-23
NGC 392,1784-09-12
NGC 4377,1784-02-19
NGC 4435,1784-04-08
NGC 455,1864-10-27
NGC 5238,1789-01-01
NGC 524,1786-09-04
NGC 541,1864-10-30
NGC 5450,1851-04-27
NGC 559,1787-11-09
NGC 59,1886-01-01
NGC 6120,1787-03-17
NGC 6281,1826-06-05
NGC 6793,1789-07-18
NGC 6819,1784-05-12
NGC 7142,1794-10-18
NGC 7213,1834-09-30
NGC 7214,1834-07-30
NGC 7320,1876-09-23
NGC 7500,1886-08-08
Praxidike,2000-11-23
promethium,1945-01-01
Saint Helena,1502-01-01
Sinope,1914-07-21
Sponde,2001-12-09
Sunflower Galaxy,1779-06-14
Themisto,1975-09-30
ULAS J1342+0928,2017-01-01
Whirlpool Galaxy,1773-10-13
