Subject,Object
Ashkelon,-2000-01
Belgrade,-0201-01
Berlin,1237-01-01
Bern,1208-12-01
Biel/Bienne,1142-01-01
Biel/Bienne,1184-01-01
Biel/Bienne,1187-01-01
Biel/Bienne,1228-01-01
Biel/Bienne,1230-01-01
Biel/Bienne,1239-01-01
Biel/Bienne,1258-01-01
Biel/Bienne,1299-01-01
Blansko,1131-01-01
Blansko,1136-01-17
Brno,1091-01-01
Brno,1091-01-17
Bruchsal,0976-01-01
Buckton Castle,1360-01-01
Buenos Aires,1536-01-01
Czech Republic,0900-01-01
Dobročkov,1310-01-01
Dortmund,0882-01-01
Dunajská Streda,1254-01-01
Hanušovce nad Topľou,1332-01-01
Hnúšťa,1334-01-01
Holon,1937-01-01
Jablonec nad Nisou,1356-01-01
Jasenov,1279-01-01
Jindřichovice pod Smrkem,1381-01-01
Kraków,0966-01-01
Leeds,1086-01-01
Litoměřice,1219-01-17
Madrid,0871-01-01
Mladá Boleslav,1130-01-01
Mosul,0700-01-01
Mošnov,1374-01-01
Nebovazy,1281-01-01
Nové Město pod Smrkem,1381-01-01
Offenbach am Main,0977-01-01
Pezinok,1208-01-01
Přísnotice,1348-01-01
Rimavská Sobota,1268-01-01
Rusová,1367-01-01
Salaspils,1186-01-01
Saldus,1253-01-01
Skalica,1217-01-01
Skrbeň,1174-01-01
Staré Křečany,1485-01-01
Stráž,1281-01-01
Střílky,1261-01-01
São Paulo,1554-01-25
Trutnov,1260-01-17
Uherské Hradiště,1257-01-17
Vienna,-0100-01
Warsaw,1313-04-23
Ózd,1242-01-01
České Budějovice,1265-01-01
