Subject,Object
Apollo 13,1970-04-17
Apollo 14,1971-02-09
Apollo 15,1971-08-07
AS-202,1966-08-25
Kosmos 1001,1978-04-15
Kosmos 1074,1979-04-01
Kosmos 212,1968-04-20
Kosmos 573,1973-06-17
Kosmos 613,1974-01-29
Kosmos 638,1974-04-13
Kosmos 670,1974-08-08
Kosmos 672,1974-08-18
Kosmos 772,1975-10-03
Soyuz 2,1968-10-28
Soyuz T-1,1980-03-26
Soyuz TM-1,1986-05-30
Soyuz TM-14,1992-08-10
Soyuz TM-19,1994-11-04
Soyuz TM-2,1987-07-30
Soyuz TM-20,1995-03-22
Soyuz TM-21,1995-09-11
Soyuz TM-22,1996-09-29
Soyuz TM-23,1996-09-02
Soyuz TM-3,1987-12-29
Soyuz TM-7,1989-04-27
Soyuz TMA-10,2007-04-07
Soyuz TMA-11,2008-04-19
Soyuz TMA-12,2008-10-24
Soyuz TMA-2,2003-10-28
Soyuz TMA-21,2011-09-16
Soyuz TMA-3,2004-04-30
Soyuz TMA-6,2005-10-11
Soyuz TMA-9,2007-04-21
