Subject,Object
1977–78 Unione Calcio Sampdoria season,1977-1978 one-year-period
1983–84 S.C. Bastia season,1983-1984 one-year-period
1984–85 S.C. Bastia season,1984-1985 one-year-period
1985–86 Udinese Calcio season,1985-1986 one-year-period
1986–87 Udinese Calcio season,1986-1987 one-year-period
1987–88 Udinese Calcio season,1987-1988 one-year-period
1988–89 Udinese Calcio season,1988-1989 one-year-period
1989–90 Udinese Calcio season,1989-1990 one-year-period
1990–91 Udinese Calcio season,1990-1991 one-year-period
2006–07 Celtic League,2006-2007 one-year-period
2007–08 Celtic League,2007-2008 one-year-period
2008–09 Celtic League,2008-2009 one-year-period
2010–11 Celtic League,2010-2011 one-year-period
2011–12 Pro 12,2011-2012 one-year-period
2012–13 Pro 12,2012-2013 one-year-period
2014–15 Pro12,2014-2015 one-year-period
2015–16 Pro12,2015-2016 one-year-period
2016–17 Pro12,2016-2017 one-year-period
2017 Six Nations Championship,2016-2017 one-year-period
2018 Six Nations Championship,2017-2018 one-year-period
2019 Six Nations Championship,2018–2019 one-year-period
Attic black-figure votive plate,classical antiquity
attic geometric Neck amphora,classical antiquity
Baba Mountain,Tertiary
Building 18010-18,Ottoman Palestine
Building 18010-91,Ottoman Palestine
Building 18011-122,Ottoman Palestine
Building 18011-20,Ottoman Palestine
Building 18011-85,Ottoman Palestine
Building 18110-1,Ottoman Palestine
Cesnola krater,classical antiquity
Chaldean Catholic Archeparchy of Mosul,christian calendar
Diosphos Painter,classical antiquity
Dipylon Master,classical antiquity
High Tatras,Miocene
Horses Amphora,classical antiquity
Khan al-Shuna,Ottoman Palestine
Kylix by the Providence Painter,classical antiquity
Lucera Painter,classical antiquity
Monti Lattari,Oligocene
Neck Amphora by Exekias,classical antiquity
Painter of the Aachen horsehead,classical antiquity
Swabian-Franconian Forest,Keuper Group
Terracotta amphora,classical antiquity
Terracotta aryballos signed by Nearchos,classical antiquity
Wicklow Mountains,Devonian
