Subject,Object
A Cambridge Mass,G major
Do They Know It's Christmas?,C major
Embraceable You,G major
Hallelujah Chorus,D major
Harmoniemesse,B-flat major
Mass in G minor,G minor
Missa brevis Sancti Joannis de Deo,B-flat major
Missa in honorem Sanctissimae Trinitatis,C major
Nachtlied,D major
On the Floor,E-flat minor
Requiem in C minor,C minor
Sunshine of Your Love,D minor
SWLABR,E minor
"Symphonies, no. 1, op. 7, F minor",F minor
"Symphonies, no. 2, op. 11, D major",D major
Symphony in G minor,G minor
Symphony No. 1,F major
When We Were Young,C minor
