Subject,Object
Ajka District,Template:Ajka District
anthropology,Template:Anthropology
Austria,template:airports in austria
Austria,template:austria
Austria,template:austria topics
Baktalórántháza District,Template:Baktalórántháza District
Balassagyarmat District,Template:Balassagyarmat District
Balatonalmádi District,Template:Balatonalmádi District
botany,Template:Botany
Pétervására District,Template:Pétervására District
Rhine,template:rhine tributaries
Rétság District,Template:Rétság District
Salgótarján District,Template:Salgótarján District
semiotics,Template:Semiotics
statistics,Template:Statistics
Szentgotthárd District,Template:Szentgotthárd District
Sárvár District,Template:Sárvár District
Tapolca District,Template:Tapolca District
Ózd District,Template:Ózd District
