Subject,Object
Albania,1.625
Albania,1.635
Albania,1.636
Albania,1.663
Albania,1.668
Albania,1.699
Albania,1.724
Albania,1.735
Albania,1.765
Albania,1.784
Albania,1.798
Albania,1.884
Albania,1.975
Albania,2.068
Albania,2.16
Albania,2.249
Alberta,1.5904
Argentina,2.15
Argentina,2.322
Argentina,2.335
Argentina,2.347
Argentina,2.358
Argentina,2.37
Argentina,2.382
Argentina,2.396
Argentina,2.413
Argentina,2.432
Argentina,2.452
Argentina,2.474
Argentina,2.495
Argentina,2.516
Argentina,2.537
Argentina,2.561
Argentina,2.589
Australia,1.739
Australia,1.74
Australia,1.748
Australia,1.755
Australia,1.756
Australia,1.768
Australia,1.807
Australia,1.859
Australia,1.908
Australia,1.921
Australia,1.927
Australia,1.928
Australia,1.959
Australia,1.971
Australia,1.984
Austria,1.33
Austria,1.34
Austria,1.36
Austria,1.38
Austria,1.39
Austria,1.41
Austria,1.42
Austria,1.43
Austria,1.44
Austria,1.48
Bangladesh,2.1
Bangladesh,2.175
Bangladesh,2.209
Bangladesh,2.245
Bangladesh,2.286
Bangladesh,2.332
Bangladesh,2.387
Bangladesh,2.449
Bangladesh,2.521
Bangladesh,2.6
Bangladesh,2.687
Bangladesh,2.779
Bangladesh,2.874
Bangladesh,2.971
Bangladesh,3.069
Bangladesh,3.169
Bangladesh,3.269
Botswana,2.836
Botswana,2.864
Botswana,2.881
Botswana,2.89
Botswana,2.893
Botswana,2.895
Botswana,2.903
Botswana,2.921
Botswana,2.952
Botswana,2.998
Botswana,3.06
Botswana,3.134
Botswana,3.219
Botswana,3.312
Botswana,3.413
Botswana,3.519
Burkina Faso,5.521
Cameroon,4.704
Cameroon,4.781
Cameroon,4.859
Cameroon,4.938
Cameroon,5.017
Cameroon,5.093
Cameroon,5.166
Cameroon,5.235
Cameroon,5.299
Cameroon,5.358
Cameroon,5.413
Cameroon,5.464
Cameroon,5.515
Cameroon,5.567
Cameroon,5.621
Cameroon,5.682
Central African Republic,4.286
Central African Republic,4.368
Central African Republic,4.451
Central African Republic,4.537
Central African Republic,4.624
Central African Republic,4.714
Central African Republic,4.807
Central African Republic,4.902
Central African Republic,4.996
Central African Republic,5.089
Central African Republic,5.176
Central African Republic,5.257
Central African Republic,5.329
Central African Republic,5.393
Central African Republic,5.446
Central African Republic,5.488
Chad,6.156
Chad,6.264
Chad,6.374
Chad,6.485
Chad,6.594
Chad,6.701
Chad,6.804
Chad,6.901
Chad,6.992
Chad,7.074
Chad,7.147
Chad,7.212
Chad,7.268
Chad,7.315
Chad,7.354
Chad,7.384
Czech Republic,1.13
Czech Republic,1.15
Czech Republic,1.17
Czech Republic,1.18
Czech Republic,1.23
Czech Republic,1.29
Czech Republic,1.34
Czech Republic,1.43
Czech Republic,1.45
Czech Republic,1.46
Czech Republic,1.51
Czech Republic,1.53
Czech Republic,1.57
Czech Republic,1.63
Czech Republic,1.66
Czech Republic,1.69
Czech Republic,1.71
Czech Republic,1.83
Eritrea,4.284
Federated States of Micronesia,3.243
Federated States of Micronesia,3.294
Federated States of Micronesia,3.347
Federated States of Micronesia,3.402
Federated States of Micronesia,3.46
Federated States of Micronesia,3.522
Federated States of Micronesia,3.589
Federated States of Micronesia,3.661
Federated States of Micronesia,3.739
Federated States of Micronesia,3.823
Federated States of Micronesia,3.912
Federated States of Micronesia,4.007
Federated States of Micronesia,4.105
Federated States of Micronesia,4.204
Federated States of Micronesia,4.3
Federated States of Micronesia,4.39
France,1.794
France,1.81
France,1.83
France,1.84
France,1.86
France,1.88
France,1.89
France,1.9
France,1.92
France,1.94
France,1.98
France,1.99
France,2
France,2.01
France,2.03
Ghana,4.168
Ghana,4.209
Ghana,4.238
Ghana,4.258
Ghana,4.272
Ghana,4.285
Ghana,4.303
Ghana,4.33
Ghana,4.367
Ghana,4.413
Ghana,4.464
Ghana,4.517
Ghana,4.568
Ghana,4.618
Ghana,4.67
Ghana,4.727
Greenland,2.019
Greenland,2.037
Greenland,2.077
Greenland,2.117
Greenland,2.195
Greenland,2.247
Greenland,2.256
Greenland,2.299
Greenland,2.329
Greenland,2.359
Greenland,2.372
Greenland,2.377
Greenland,2.415
Greenland,2.51
Greenland,2.566
India,2.28
India,2.427
India,2.465
India,2.51
India,2.563
India,2.622
India,2.687
India,2.755
India,2.826
India,2.896
India,2.966
India,3.036
India,3.105
India,3.174
India,3.243
India,3.311
India,3.379
Iraq,4.566
Iraq,4.607
Iraq,4.608
Iraq,4.61
Iraq,4.623
Iraq,4.637
Iraq,4.639
Iraq,4.653
Iraq,4.654
Iraq,4.658
Iraq,4.659
Iraq,4.715
Iraq,4.792
Iraq,4.888
Iraq,4.995
Lesotho,3.185
Malawi,5.129
Mauritius,1.43
Mozambique,5.359
Niger,7.599
Zambia,5.353
Zimbabwe,3.923
