Subject,Object
12.7 cm/40 Type 89 naval gun,1300
21 cm Mörser 18,711
7.5 cm Gebirgsgeschütz 36,1193
7.5 cm leichtes Infanteriegeschütz 18,12
7.5 cm Pak 40,23500
7.5 cm PaK 41,150
Daphné-class submarine,25
Ferrari F40,1337
Ferrari F50,377
Guy Armoured Car,101
Haubitze M1,8
M1903 Springfield,1300000
M2,3000000
OA vz. 27,15
OA vz. 30,51
Sd.Kfz. 247,10
sFH 18,5403
SNCF 232.U.1,1
Tatra KT4,1747
Tatra T2,771
Tatra T3,13945
Tatra T7B5,8
Thompson submachine gun,1750000
Type 38 75 mm Field Gun,2000
ZiS-3,103000
