Subject,Object
Allgemeiner Deutscher Fahrrad-Club,6798000
American Numismatic Society,2875126
American Numismatic Society,2890466
American Numismatic Society,3188651
American Numismatic Society,3236168
American Numismatic Society,3572090
American Numismatic Society,3579518
American Numismatic Society,3595758
American Numismatic Society,3902760
American Numismatic Society,5155307
American Numismatic Society,5761598
American Numismatic Society,7804427
American Numismatic Society,8541175
American Numismatic Society,9507645
Audi,48800000000
BNP Paribas,42516000000
BNP Paribas,42938000000
BNP Paribas,43161000000
BNP Paribas,43411000000
BNP Paribas,44275000000
BNP Paribas,44597000000
BNP Paribas,45874000000
BNP Paribas,46235000000
BNP Paribas,48831000000
BNP Paribas,50419000000
BNP Paribas,51223000000
Boeing,101127000000
Bund für Umwelt und Naturschutz Deutschland,35901000
Bund für Umwelt und Naturschutz Deutschland,39611000
Bund für Umwelt und Naturschutz Deutschland,39800000
Bund für Umwelt und Naturschutz Deutschland,40500000
Bund für Umwelt und Naturschutz Deutschland,41569000
Bund für Umwelt und Naturschutz Deutschland,42535000
Citigroup,103449000000
Citigroup,51599000000
Citigroup,69530000000
Citigroup,69875000000
Citigroup,72444000000
Citigroup,75338000000
Citigroup,76354000000
Citigroup,76724000000
Citigroup,77219000000
Citigroup,77300000000
Citigroup,77331000000
Citigroup,78462000000
Citigroup,79865000000
Citigroup,80285000000
Citigroup,81139000000
Citigroup,85776000000
Citigroup,88839000000
Citigroup,97120000000
Cornell University,3372319847
Cornell University,3380591488
Cornell University,4351368015
Cornell University,4368738915
Cornell University,4369242548
Cornell University,4700356619
Cornell University,5001986844
Cornell University,5023263037
Cornell University,5126693316
Cornell University,5877363039
Cornell University,6105457911
Cornell University,6503011003
Cornell University,6551885454
Dr Pepper Snapple Group,11120000000
Dr Pepper Snapple Group,11618000000
Dr Pepper Snapple Group,12683000000
Dr Pepper Snapple Group,14057000000
Dr Pepper Snapple Group,4269000000
Dr Pepper Snapple Group,5531000000
Dr Pepper Snapple Group,5636000000
Dr Pepper Snapple Group,5710000000
Dr Pepper Snapple Group,5903000000
Dr Pepper Snapple Group,5995000000
Dr Pepper Snapple Group,5997000000
Dr Pepper Snapple Group,6121000000
Dr Pepper Snapple Group,6282000000
Dr Pepper Snapple Group,6440000000
Dr Pepper Snapple Group,7442000000
Elsevier,2000000000
Elsevier,3062000000
European University Association,4901200
European University Association,5400000
Gazprombank,392479000000
Google,66001000000
H&M,151419000000
H&M,180861000000
H&M,192267000000
H&M,200004000000
H&M,210400000000
HSBC Holdings,59836000000
Itaú Unibanco,50920000000
Komerční banka,29664000000
Komerční banka,30677000000
Komerční banka,30894000000
Komerční banka,31044000000
Komerční banka,31060000000
Komerční banka,31346000000
Komerční banka,31750000000
Komerční banka,32203000000
Komerční banka,32573000000
Komerční banka,32664000000
Komerční banka,36199000000
Komerční banka,36786000000
Komerční banka,38632000000
Magnit,1237015457000
Microsoft,110360000000
Microsoft,125843000000
Microsoft,143015000000
Microsoft,168088000000
Microsoft,198270000000
Microsoft,211915000000
Microsoft,245122000000
Microsoft,281724000000
Microsoft,58437000000
Microsoft,60420000000
Microsoft,62484000000
Microsoft,69943000000
Microsoft,73723000000
Microsoft,77849000000
Microsoft,85320000000
Microsoft,86833000000
Microsoft,89950000000
Microsoft,93580000000
Nike,34350000
Northrop Grumman,23526000000
NPO Mashinostroyeniya,15500000000
NPO Mashinostroyeniya,17800000000
NPO Mashinostroyeniya,33100000000
Philip Morris International,78098000000
Poynter Institute,13169218
Poynter Institute,14644938
Poynter Institute,14903401
Poynter Institute,14970668
Poynter Institute,15869602
Poynter Institute,3816471
Poynter Institute,4386603
Poynter Institute,4663417
Poynter Institute,5867490
Poynter Institute,5945618
Poynter Institute,6062765
Poynter Institute,7397400
Poynter Institute,9484762
Ruthin School,4778506
Ruthin School,5722119
Ruthin School,5854159
Ruthin School,6936727
Ruthin School,7472128
Ruthin School,8480157
Ruthin School,8820755
Ruthin School,9106715
San Francisco Symphony,144993110
San Francisco Symphony,56118312
San Francisco Symphony,65337218
San Francisco Symphony,65989847
San Francisco Symphony,66425902
San Francisco Symphony,71106401
San Francisco Symphony,75741772
San Francisco Symphony,79584986
San Francisco Symphony,84924039
San Francisco Symphony,86419597
San Francisco Symphony,87236401
San Francisco Symphony,91183645
San Francisco Symphony,93634963
Siemens,57139000000
Siemens,62265000000
Siemens,68582000000
Siemens,71920000000
Siemens,71977000000
Siemens,72448000000
Siemens,73515000000
Siemens,74233000000
Siemens,75167000000
Siemens,75445000000
Siemens,75636000000
Siemens,75882000000
Siemens,75978000000
Siemens,76651000000
