Subject,Object
Capital Airport Express,"1,435 mm"
District line,"1,435 mm"
Est 1002 to 1005,1435 mm track gauge
Est 2601 and 2602,1435 mm track gauge
Long Island Rail Road,"1,435 mm"
Long Island Rail Road,1435 mm track gauge
Menemen railway station,"1,435 mm"
Metro-North Railroad,1435 mm track gauge
Nord 3.101,1435 mm track gauge
Nord 3.1401 and 3.1402,1435 mm track gauge
Nord 3.1501 and 3.1502,1435 mm track gauge
Nord 3.999,1435 mm track gauge
Ouest 901 and 902,1435 mm track gauge
PLM 241.B.1,1435 mm track gauge
PLM 6001,1435 mm track gauge
PLM C.1 and C.2,1435 mm track gauge
RB 11,1435 mm track gauge
RB 13,1435 mm track gauge
RB 16,1435 mm track gauge
RB 17A,1435 mm track gauge
RB 17C,1435 mm track gauge
RB 18,1435 mm track gauge
RB 31,1435 mm track gauge
RB 56,1435 mm track gauge
RB 57,1435 mm track gauge
RB 6,1435 mm track gauge
RB 61,1435 mm track gauge
RB 7,1435 mm track gauge
RB 8,1435 mm track gauge
SNCF 232.P.1,1435 mm track gauge
SNCF 232.U.1,"1,435 mm"
SNCF 232.U.1,1435 mm track gauge
SNCF 5-230.E.93,1435 mm track gauge
État 241-101,1435 mm track gauge
