Subject,Object
Akita,Kenai Peninsula Borough
Akita,St. Cloud
Alberta,hokkaido
Alicante,riga
Alicante,wen-chau
Alkmaar,troyes
Aomori Prefecture,liguria
Aomori Prefecture,Maine
Arad,Burlington
Ashkelon,ais de prouvènço
Ashkelon,aviano
Ashkelon,b more
Ashkelon,beervana
Ashkelon,camellia city
Ashkelon,cote saint-luc
Ashkelon,entebbe
Ashkelon,iquique
Ashkelon,kutaisi
Ashkelon,pankow
Ashkelon,sopot
Ashkelon,vani
Ashkelon,xinyang
Askersund Municipality,Jordanów
Asmara,atlanta
Asmara,berkeley
Asmara,firenze
Asmara,khartoum
Asmara,nevers
Atlanta,02
Atlanta,Asmara
Atlanta,athenae
Atlanta,brussels
Atlanta,bucharest
Atlanta,cheribon
Atlanta,city of río de janeiro
Atlanta,city of taipei
Atlanta,comassie
Atlanta,cotonou
Atlanta,cumucurapo
Atlanta,daegu
Atlanta,Fukuoka
Atlanta,jokneam illit
Atlanta,kreisfreie stadt nürnberg
Atlanta,lagos
Atlanta,montego bay
Atlanta,newcastle upon tyne
Atlanta,Pekanbaru
Atlanta,pink city
Atlanta,ra'anana
Atlanta,salcedo
Atlanta,salzburg
Atlanta,tbilisi
Baden-Württemberg,kanagawa prefecture
Baguio,capital ​​of the inca empire
Baguio,city and county of honolulu
Baguio,hanarourou
Barcelona,algiers
Barcelona,antwerp
Barcelona,aspadāna
Barcelona,athenae
Barcelona,bean town
Barcelona,bosna-serai
Barcelona,buenos aires
Barcelona,busan
Barcelona,city of río de janeiro
Barcelona,cologne
Barcelona,dubai
Barcelona,fes
Barcelona,gerkiy
Barcelona,gia định
Barcelona,habana
Barcelona,hu
Barcelona,ishbiliya
Barcelona,istanbul
Barcelona,kief
Barcelona,kitu
Barcelona,kobe
Barcelona,monterrey
Barcelona,montevideo
Barcelona,san domingo
Barcelona,sao paulo
Barcelona,tel aviv
Barcelona,tirana
Barcelona,valparaiso
Barcelona,wen-chau
Batumi,aghjabadi
Batumi,aleksandrovka
Batumi,artvin
Batumi,ashdod
Batumi,athens port
Batumi,bare
Batumi,bieraście
Batumi,bourgas
Batumi,cernopol
Batumi,city of río de janeiro
Batumi,cotyora
Batumi,crescent city
Batumi,daugapils
Batumi,dihua
Batumi,donostia
Batumi,jurmala
Batumi,kislovodsk
Batumi,kuşadası
Batumi,marbella
Batumi,mykolaiv
Batumi,městská část praha 1
Batumi,nakhchivan
Batumi,natanya
Batumi,neisse
Batumi,new paphos
Batumi,Paphos
Batumi,rostock
Batumi,savannah
Batumi,sharm
Batumi,Sharm el-Sheikh
Batumi,tarabossan
Batumi,tzu-po
Batumi,vanadzor
Batumi,verona
Batumi,volos
Batumi,yalova
Batumi,yalta
Beaverton,Birobidzhan
Belgrade,aemona
Belgrade,athenae
Belgrade,beeijing
Belgrade,buenos aires
Belgrade,burguriçe
Belgrade,cdmx
Belgrade,chi-raq
Belgrade,christiania
