Subject,Object
drinking fountain Helvetiaplatz,water distribution pipe network
fountain Muristalden,water distribution pipe network
fountain Nydegghöfli,water distribution pipe network
Marzili fountain,water distribution pipe network
outer Laupenstrasse fountain,water distribution pipe network
Reservoir fountain,water distribution pipe network
Speichergasse fountain,water distribution pipe network
Steinhölzli fountain,water distribution pipe network
Thunstrasse fountain,water distribution pipe network
Villa Stucki fountain,water distribution pipe network
water play on the Bundesplatz,water distribution pipe network
Widmann fountain,water distribution pipe network
