Subject,Object
Albania,16.0
Argentina,11.6
Argentina,12.1
Argentina,12.4
Argentina,13.2
Argentina,13.8
Argentina,14.7
Argentina,14.8
Argentina,16.6
Argentina,17.3
Argentina,17.8
Argentina,21.5
Argentina,6.0
Argentina,6.3
Argentina,7.0
Argentina,7.9
Argentina,8.5
Argentina,8.7
Argentina,8.9
Argentina,9.3
Australia,6.0
Austria,5.0
Bali,184430.0
Bangladesh,4.0
Belgium,8.0
Bern,1.9
Botswana,18.0
Cameroon,4.0
Central African Republic,7.0
Chad,7.0
Czech Republic,3.4
Czech Republic,6.0
Eswatini,22.0
France,10.0
Ghana,2.0
India,4.0
Iraq,30.0
Israel,66.36
Italy,8.1
Japan,4.0
Kazakhstan,4.0
Lesotho,26.0
Libya,19.0
Mali,8.0
Mauritius,8.0
Montenegro,19.0
Morocco,10.0
Netherlands,3.8
Netherlands,4.1
Netherlands,7.0
New Zealand,6.0
Norway,3.0
Paraguay,4.0
Peru,4.0
Philippines,11.0
Philippines,11.2
Philippines,11.5
Philippines,11.9
Philippines,7.0
Philippines,7.1
Philippines,7.3
Philippines,7.4
Philippines,7.5
Philippines,7.7
Philippines,8.0
Poland,3.0
Poland,4.0
Poland,6.0
Poland,7.0
Poland,9.0
Portugal,14.0
Romania,7.0
Slovakia,5.761
Slovakia,6.143
Slovakia,6.719
Slovakia,6.894
Spain,25.0
Sweden,1.9
Sweden,10.0
Sweden,10.2
Sweden,10.6
Sweden,10.7
Sweden,11.0
Sweden,2.0
Sweden,2.2
Sweden,2.4
Sweden,2.5
Sweden,2.6
Sweden,2.8
Sweden,2.9
Sweden,3.1
Sweden,3.2
Sweden,3.3
Sweden,3.4
Sweden,3.6
Sweden,3.9
Sweden,4.0
Sweden,4.4
Sweden,5.9
Sweden,6.1
Sweden,6.2
Sweden,6.4
Sweden,6.5
Sweden,6.6
Sweden,6.7
Sweden,6.8
Sweden,7.0
Sweden,7.1
Sweden,7.4
Sweden,7.5
Sweden,7.8
Sweden,7.9
Sweden,8.0
Sweden,8.1
Sweden,8.4
Sweden,8.7
Sweden,9.3
Thailand,0.9
Turkey,9.0
Turkmenistan,10.0
Uganda,4.0
Ukraine,8.0
United Kingdom,6.0
Vietnam,2.0
Zambia,13.0
