Subject,Object
3DO Interactive Multiplayer,2000000
Atari Jaguar,500000
Atari Lynx,3000000
Dendy,2000000
Magnavox Odyssey²,2000000
Mega Man,37000000
Mega Man,38000000
Mega Man,40000000
Mega Man,42000000
Mega Man,43000000
Mega Man,44000000
Mortal Kombat,79000000
Mortal Kombat,80000000
Nintendo 3DS,15030000
Nintendo 3DS,17130000
Nintendo 3DS,19000000
Nintendo 3DS,22190000
Nintendo 3DS,29840000
Nintendo 3DS,31090000
Nintendo 3DS,32480000
Nintendo 3DS,34980000
Nintendo 3DS,3610000
Nintendo 3DS,42740000
Nintendo 3DS,4320000
Nintendo 3DS,43330000
Nintendo 3DS,44140000
Nintendo 3DS,45420000
Nintendo 3DS,50410000
Nintendo 3DS,52060000
Nintendo 3DS,53070000
Nintendo 3DS,54340000
Nintendo 3DS,57940000
Nintendo 3DS,58850000
Nintendo 3DS,59790000
Nintendo 3DS,61570000
Nintendo 3DS,63700000
Nintendo 3DS,65300000
Nintendo 3DS,66120000
Nintendo 3DS,6680000
Nintendo 3DS,67080000
Nintendo 3DS,68980000
Nintendo 3DS,71990000
Nintendo 3DS,72530000
Nintendo 3DS,72890000
Nintendo 3DS,73530000
Nintendo 3DS,74840000
Nintendo 3DS,75080000
Nintendo 3DS,75280000
Nintendo 3DS,75450000
Nintendo 3DS,75710000
Nintendo 3DS,75770000
Nintendo 3DS,75940000
Nintendo DS,101780000
Nintendo DS,107750000
Nintendo DS,113480000
Nintendo DS,125130000
Nintendo DS,128890000
Nintendo DS,132040000
Nintendo DS,135580000
Nintendo DS,14430000
Nintendo DS,144590000
Nintendo DS,146420000
Nintendo DS,147860000
Nintendo DS,149000000
Nintendo DS,151060000
Nintendo DS,151520000
Nintendo DS,152050000
Nintendo DS,152500000
Nintendo DS,153670000
Nintendo DS,153870000
Nintendo DS,153930000
Nintendo DS,153960000
Nintendo DS,153980000
Nintendo DS,153990000
Nintendo DS,154020000
Nintendo DS,16730000
Nintendo DS,21270000
Nintendo DS,26820000
Nintendo DS,2840000
Nintendo DS,35610000
Nintendo DS,40290000
Nintendo DS,47270000
Nintendo DS,5270000
Nintendo DS,53640000
Nintendo DS,64790000
Nintendo DS,6650000
Nintendo DS,70600000
Nintendo DS,77540000
Nintendo DS,84330000
Nintendo DS,8830000
Nintendo DS,96220000
Nintendo GameCube,21740000
Virtual Boy,770000
Wii,100040000
Wii,100300000
Wii,100900000
Wii,101060000
Wii,101150000
Wii,101230000
Wii,101440000
Wii,101520000
Wii,101560000
Wii,101590000
Wii,101630000
Wii,13170000
Wii,20130000
Wii,24450000
Wii,29620000
Wii,3190000
Wii,34550000
Wii,44960000
Wii,50390000
Wii,52620000
Wii,56140000
Wii,5840000
Wii,67450000
Wii,70930000
Wii,73970000
Wii,75900000
Wii,84640000
Wii,86010000
Wii,87570000
Wii,89360000
Wii,9270000
Wii,94970000
Wii,95850000
Wii,96560000
Wii,97180000
Wii,99380000
Wii,99840000
Wii U,10010000
Wii U,10730000
Wii U,12600000
Wii U,12800000
Wii U,13020000
Wii U,13360000
Wii U,13560000
Wii U,3060000
Wii U,3450000
Wii U,3610000
Wii U,3910000
Wii U,5860000
Wii U,6170000
Wii U,6680000
Wii U,7290000
Wii U,9200000
Wii U,9540000
Xbox 360,11600000
Xbox 360,20300000
Xbox 360,28000000
Xbox 360,31400000
Xbox 360,40200000
Xbox 360,5000000
Xbox 360,66000000
Xbox 360,85480000
Xbox One,1000000
Xbox One,2000000
Xbox One,3000000
Xbox One,47000000
Xbox One,58000000
