Subject,Object
Albania,cee 7/16-ii plug
Albania,european plug
Argentina,cee 7/16-ii plug
Atchampet mandal,0
Austria,cee 7/16-ii plug
Austria,european plug
Bangladesh,british 3-pin
Bangladesh,cee 7/16-ii plug
Bangladesh,"jis c 8303, class ii"
Botswana,british 3-pin
Cameroon,cee 7/16-ii plug
Cameroon,cee 7/6
Central African Republic,cee 7/16-ii plug
Central African Republic,cee 7/6
Chad,cee 7/16-ii plug
Chad,cee 7/6
Chad,european plug
Czech Republic,cee 7/16-ii plug
Czech Republic,cee 7/6
Dornala mandal,0
Federated States of Micronesia,iec 60906-2 (15 a)
Federated States of Micronesia,"jis c 8303, class ii"
France,cee 7/16-ii plug
France,cee 7/6
Ghana,british 3-pin
Greenland,cee 7/16-ii plug
Greenland,cee 7/6
Greenland,european plug
India,cee 7/16-ii plug
Iraq,british 3-pin
Iraq,cee 7/16-ii plug
Israel,cee 7/16-ii plug
Italy,cee 7/16-ii plug
Italy,european plug
Janakavarampanguluru mandal,0
Japan,iec 60906-2 (15 a)
Japan,"jis c 8303, class ii"
Kazakhstan,cee 7/16-ii plug
Kazakhstan,european plug
Kingdom of the Netherlands,cee 7/16-ii plug
Kingdom of the Netherlands,european plug
Kurichedu mandal,0
Kyrgyzstan,cee 7/16-ii plug
Kyrgyzstan,european plug
Libya,cee 7/16-ii plug
Libya,european plug
Mali,cee 7/16-ii plug
Mali,cee 7/6
Martur mandal,0
Mauritius,british 3-pin
Mauritius,cee 7/16-ii plug
Montenegro,cee 7/16-ii plug
Montenegro,european plug
Morocco,cee 7/16-ii plug
Morocco,cee 7/6
Netherlands,cee 7/16-ii plug
Netherlands,european plug
North Korea,cee 7/16-ii plug
North Korea,european plug
North Korea,"jis c 8303, class ii"
Palau,iec 60906-2 (15 a)
Palau,"jis c 8303, class ii"
Paraguay,cee 7/16-ii plug
Parchur mandal,0
Peru,cee 7/16-ii plug
Peru,iec 60906-2 (15 a)
Peru,"jis c 8303, class ii"
Philippines,cee 7/16-ii plug
Philippines,iec 60906-2 (15 a)
Philippines,"jis c 8303, class ii"
Poland,cee 7/16-ii plug
Poland,cee 7/6
Racherla mandal,0
Romania,cee 7/16-ii plug
Romania,european plug
Santhamaguluru mandal,0
Slovakia,cee 7/16-ii plug
Slovakia,cee 7/6
Spain,cee 7/16-ii plug
Spain,european plug
Sweden,cee 7/16-ii plug
Sweden,european plug
Tangutur mandal,0
Thailand,cee 7/16-ii plug
Thailand,european plug
Thailand,iec 60906-2 (15 a)
Thailand,"jis c 8303, class ii"
Turkey,cee 7/16-ii plug
Turkey,european plug
Turkmenistan,cee 7/16-ii plug
Turkmenistan,european plug
Turkmenistan,iec 60906-2 (15 a)
Uganda,british 3-pin
Ukraine,cee 7/16-ii plug
Ukraine,european plug
United Kingdom,british 3-pin
Veligandla mandal,0
Venkatachalam mandal,0
Vietnam,british 3-pin
Vietnam,cee 7/16-ii plug
Vietnam,european plug
Vietnam,"jis c 8303, class ii"
Yerragondapalem mandal,0
Zambia,british 3-pin
Zambia,cee 7/16-ii plug
